rate,conditioner,kernel,profile,block,mean_us,p95_us,p99_us,max_us,state_bytes,observed_allocations,reset_partition_exact,measured_blocks,total_latency_samples,scope
44100,iir-p16000-s19000,kaiser-g16,overlap-reference,64,8.7892,10.7,14.3,28.8,1087640,0,true,500,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s19000,kaiser-g16,overlap-reference,128,17.4448,21.1,28.3,38.3,1087640,0,true,500,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s19000,kaiser-g16,overlap-reference,256,34.9854,43.7,58.7,79.3,1087640,0,true,500,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s19000,kaiser-g16,overlap-reference,257,34.4512,43.2,51.8,60.8,1087640,0,true,500,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s19000,kaiser-g16,overlap-reference,512,68.7896,85.9,99,116.8,1087640,0,true,500,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s19000,kaiser-g16,overlap-reference,1024,137.73,166,185.8,190.5,1087640,0,true,500,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s19000,kaiser-g16,sustained-edge,32,4.7,4.7,4.7,4.7,1087640,0,true,5,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s19000,kaiser-g16,sustained-edge,64,9.34,9.4,9.4,9.4,1087640,0,true,5,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s19000,kaiser-g16,sustained-edge,128,19.06,24.3,24.3,24.3,1087640,0,true,5,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s19000,kaiser-g16,sustained-edge,256,36.18,49.1,49.1,49.1,1087640,0,true,5,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s19000,kaiser-g16,sustained-edge,257,30.9,31.2,31.2,31.2,1087640,0,true,5,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s19000,kaiser-g16,sustained-edge,512,63.74,70.7,70.7,70.7,1087640,0,true,5,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s19000,kaiser-g16,sustained-edge,1024,129.16,138.7,138.7,138.7,1087640,0,true,5,16,candidate only; not complete A1+B1/plugin callback
44100,fir65-p16000-s19000,kaiser-g16,reference,32,5.96,6,6,6,1087680,0,true,5,48,candidate only; not complete A1+B1/plugin callback
44100,fir65-p16000-s19000,kaiser-g16,reference,64,11.86,11.9,11.9,11.9,1087680,0,true,5,48,candidate only; not complete A1+B1/plugin callback
44100,fir65-p16000-s19000,kaiser-g16,reference,128,23.82,23.9,23.9,23.9,1087680,0,true,5,48,candidate only; not complete A1+B1/plugin callback
44100,fir65-p16000-s19000,kaiser-g16,reference,256,47.56,47.9,47.9,47.9,1087680,0,true,5,48,candidate only; not complete A1+B1/plugin callback
44100,fir65-p16000-s19000,kaiser-g16,reference,257,47.86,48,48,48,1087680,0,true,5,48,candidate only; not complete A1+B1/plugin callback
44100,fir65-p16000-s19000,kaiser-g16,reference,512,97.48,104.6,104.6,104.6,1087680,0,true,5,48,candidate only; not complete A1+B1/plugin callback
44100,fir65-p16000-s19000,kaiser-g16,reference,1024,201.2,225.2,225.2,225.2,1087680,0,true,5,48,candidate only; not complete A1+B1/plugin callback
44100,fir65-p16000-s19000,kaiser-g16,edge,32,6.02,6.1,6.1,6.1,1087680,0,true,5,48,candidate only; not complete A1+B1/plugin callback
44100,fir65-p16000-s19000,kaiser-g16,edge,64,12.02,12.1,12.1,12.1,1087680,0,true,5,48,candidate only; not complete A1+B1/plugin callback
44100,fir65-p16000-s19000,kaiser-g16,edge,128,24,24.1,24.1,24.1,1087680,0,true,5,48,candidate only; not complete A1+B1/plugin callback
44100,fir65-p16000-s19000,kaiser-g16,edge,256,48.18,49,49,49,1087680,0,true,5,48,candidate only; not complete A1+B1/plugin callback
44100,fir65-p16000-s19000,kaiser-g16,edge,257,48.3,48.5,48.5,48.5,1087680,0,true,5,48,candidate only; not complete A1+B1/plugin callback
44100,fir65-p16000-s19000,kaiser-g16,edge,512,97.42,104.6,104.6,104.6,1087680,0,true,5,48,candidate only; not complete A1+B1/plugin callback
44100,fir65-p16000-s19000,kaiser-g16,edge,1024,199.92,218.9,218.9,218.9,1087680,0,true,5,48,candidate only; not complete A1+B1/plugin callback
44100,fir65-p16000-s19000,kaiser-g16,overlap-reference,32,6.309,6.7,12,21.2,1087680,0,true,500,48,candidate only; not complete A1+B1/plugin callback
44100,fir65-p16000-s19000,kaiser-g16,overlap-reference,64,12.4838,13.6,22.1,27.8,1087680,0,true,500,48,candidate only; not complete A1+B1/plugin callback
44100,fir65-p16000-s19000,kaiser-g16,overlap-reference,128,24.9646,27,39.1,44.2,1087680,0,true,500,48,candidate only; not complete A1+B1/plugin callback
44100,fir65-p16000-s19000,kaiser-g16,overlap-reference,256,50.7476,61.9,80.9,127.2,1087680,0,true,500,48,candidate only; not complete A1+B1/plugin callback
44100,fir65-p16000-s19000,kaiser-g16,overlap-reference,257,50.8482,64.4,82.3,133.6,1087680,0,true,500,48,candidate only; not complete A1+B1/plugin callback
44100,fir65-p16000-s19000,kaiser-g16,overlap-reference,512,100.384,116.4,125.9,278.9,1087680,0,true,500,48,candidate only; not complete A1+B1/plugin callback
44100,fir65-p16000-s19000,kaiser-g16,overlap-reference,1024,200.987,231.1,256.7,371.2,1087680,0,true,500,48,candidate only; not complete A1+B1/plugin callback
44100,fir65-p16000-s19000,kaiser-g16,sustained-edge,32,6.04,6.1,6.1,6.1,1087680,0,true,5,48,candidate only; not complete A1+B1/plugin callback
44100,fir65-p16000-s19000,kaiser-g16,sustained-edge,64,12.12,12.8,12.8,12.8,1087680,0,true,5,48,candidate only; not complete A1+B1/plugin callback
44100,fir65-p16000-s19000,kaiser-g16,sustained-edge,128,29.06,49.6,49.6,49.6,1087680,0,true,5,48,candidate only; not complete A1+B1/plugin callback
44100,fir65-p16000-s19000,kaiser-g16,sustained-edge,256,48,48.2,48.2,48.2,1087680,0,true,5,48,candidate only; not complete A1+B1/plugin callback
44100,fir65-p16000-s19000,kaiser-g16,sustained-edge,257,47.7,47.9,47.9,47.9,1087680,0,true,5,48,candidate only; not complete A1+B1/plugin callback
44100,fir65-p16000-s19000,kaiser-g16,sustained-edge,512,100.54,117.3,117.3,117.3,1087680,0,true,5,48,candidate only; not complete A1+B1/plugin callback
44100,fir65-p16000-s19000,kaiser-g16,sustained-edge,1024,206.78,247.3,247.3,247.3,1087680,0,true,5,48,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s19000,kaiser-g16,reference,32,8.72,8.8,8.8,8.8,1088192,0,true,5,80,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s19000,kaiser-g16,reference,64,23,35.4,35.4,35.4,1088192,0,true,5,80,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s19000,kaiser-g16,reference,128,34.64,34.8,34.8,34.8,1088192,0,true,5,80,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s19000,kaiser-g16,reference,256,72,83.4,83.4,83.4,1088192,0,true,5,80,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s19000,kaiser-g16,reference,257,70.04,72.6,72.6,72.6,1088192,0,true,5,80,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s19000,kaiser-g16,reference,512,147.96,153.2,153.2,153.2,1088192,0,true,5,80,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s19000,kaiser-g16,reference,1024,281.84,291,291,291,1088192,0,true,5,80,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s19000,kaiser-g16,edge,32,8.72,8.8,8.8,8.8,1088192,0,true,5,80,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s19000,kaiser-g16,edge,64,17.32,17.4,17.4,17.4,1088192,0,true,5,80,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s19000,kaiser-g16,edge,128,34.7,34.9,34.9,34.9,1088192,0,true,5,80,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s19000,kaiser-g16,edge,256,69.3,69.6,69.6,69.6,1088192,0,true,5,80,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s19000,kaiser-g16,edge,257,72.3,83.5,83.5,83.5,1088192,0,true,5,80,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s19000,kaiser-g16,edge,512,141.7,148.6,148.6,148.6,1088192,0,true,5,80,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s19000,kaiser-g16,edge,1024,293.18,318.2,318.2,318.2,1088192,0,true,5,80,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s19000,kaiser-g16,overlap-reference,32,8.9986,9.4,9.7,39.7,1088192,0,true,500,80,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s19000,kaiser-g16,overlap-reference,64,17.9732,18.9,20.3,47,1088192,0,true,500,80,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s19000,kaiser-g16,overlap-reference,128,35.815,37.6,62.4,69.9,1088192,0,true,500,80,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s19000,kaiser-g16,overlap-reference,256,72.3538,76.4,107.5,235.3,1088192,0,true,500,80,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s19000,kaiser-g16,overlap-reference,257,72.5556,76.8,102,167.3,1088192,0,true,500,80,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s19000,kaiser-g16,overlap-reference,512,143.26,166.1,175,184,1088192,0,true,500,80,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s19000,kaiser-g16,overlap-reference,1024,288.928,318,351.3,501.8,1088192,0,true,500,80,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s19000,kaiser-g16,sustained-edge,32,8.72,8.8,8.8,8.8,1088192,0,true,5,80,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s19000,kaiser-g16,sustained-edge,64,18.3,22.2,22.2,22.2,1088192,0,true,5,80,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s19000,kaiser-g16,sustained-edge,128,34.56,34.7,34.7,34.7,1088192,0,true,5,80,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s19000,kaiser-g16,sustained-edge,256,72.1,83.5,83.5,83.5,1088192,0,true,5,80,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s19000,kaiser-g16,sustained-edge,257,69.5,69.7,69.7,69.7,1088192,0,true,5,80,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s19000,kaiser-g16,sustained-edge,512,148.6,157.4,157.4,157.4,1088192,0,true,5,80,candidate only; not complete A1+B1/plugin callback
44100,fir129-p16000-s19000,kaiser-g16,sustained-edge,1024,285.92,305.9,305.9,305.9,1088192,0,true,5,80,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s20000,kaiser-g16,reference,32,4.66,4.7,4.7,4.7,1087480,0,true,5,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s20000,kaiser-g16,reference,64,9.28,9.4,9.4,9.4,1087480,0,true,5,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s20000,kaiser-g16,reference,128,17.74,22.2,22.2,22.2,1087480,0,true,5,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s20000,kaiser-g16,reference,256,29.22,29.5,29.5,29.5,1087480,0,true,5,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s20000,kaiser-g16,reference,257,29.3,29.6,29.6,29.6,1087480,0,true,5,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s20000,kaiser-g16,reference,512,67.28,80.5,80.5,80.5,1087480,0,true,5,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s20000,kaiser-g16,reference,1024,143.28,161.1,161.1,161.1,1087480,0,true,5,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s20000,kaiser-g16,edge,32,4.58,4.7,4.7,4.7,1087480,0,true,5,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s20000,kaiser-g16,edge,64,9,9.1,9.1,9.1,1087480,0,true,5,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s20000,kaiser-g16,edge,128,16.24,18.1,18.1,18.1,1087480,0,true,5,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s20000,kaiser-g16,edge,256,30.66,36,36,36,1087480,0,true,5,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s20000,kaiser-g16,edge,257,30.76,36,36,36,1087480,0,true,5,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s20000,kaiser-g16,edge,512,81.2,91.7,91.7,91.7,1087480,0,true,5,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s20000,kaiser-g16,edge,1024,141.52,153.7,153.7,153.7,1087480,0,true,5,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s20000,kaiser-g16,overlap-reference,32,3.9524,4.5,4.7,30.1,1087480,0,true,500,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s20000,kaiser-g16,overlap-reference,64,8.6544,11,32.3,46.3,1087480,0,true,500,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s20000,kaiser-g16,overlap-reference,128,16.6412,19,37.6,91.1,1087480,0,true,500,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s20000,kaiser-g16,overlap-reference,256,32.731,43.6,50.4,70,1087480,0,true,500,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s20000,kaiser-g16,overlap-reference,257,33.0108,43.6,48.3,71,1087480,0,true,500,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s20000,kaiser-g16,overlap-reference,512,65.6566,82.4,91.3,113.3,1087480,0,true,500,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s20000,kaiser-g16,overlap-reference,1024,131.244,162.3,178.8,253.7,1087480,0,true,500,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s20000,kaiser-g16,sustained-edge,32,8.26,8.4,8.4,8.4,1087480,0,true,5,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s20000,kaiser-g16,sustained-edge,64,16.84,17,17,17,1087480,0,true,5,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s20000,kaiser-g16,sustained-edge,128,19.56,33.8,33.8,33.8,1087480,0,true,5,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s20000,kaiser-g16,sustained-edge,256,29.14,29.4,29.4,29.4,1087480,0,true,5,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s20000,kaiser-g16,sustained-edge,257,29.26,29.4,29.4,29.4,1087480,0,true,5,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s20000,kaiser-g16,sustained-edge,512,60.6,68.3,68.3,68.3,1087480,0,true,5,16,candidate only; not complete A1+B1/plugin callback
44100,iir-p16000-s20000,kaiser-g16,sustained-edge,1024,121.5,130.3,130.3,130.3,1087480,0,true,5,16,candidate only; not complete A1+B1/plugin callback
44100,fir65-p16000-s20000,kaiser-g16,reference,32,5.96,6,6,6,1087680,0,true,5,48,candidate only; not complete A1+B1/plugin callback
44100,fir65-p16000-s20000,kaiser-g16,reference,64,11.9,12,12,12,1087680,0,true,5,48,candidate only; not complete A1+B1/plugin callback
44100,fir65-p16000-s20000,kaiser-g16,reference,128,23.84,24,24,24,1087680,0,true,5,48,candidate only; not complete A1+B1/plugin callback
44100,fir65-p16000-s20000,kaiser-g16,reference,256,47.62,48,48,48,1087680,0,true,5,48,candidate only; not complete A1+B1/plugin callback
44100,fir65-p16000-s20000,kaiser-g16,reference,257,47.86,48.1,48.1,48.1,1087680,0,true,5,48,candidate only; not complete A1+B1/plugin callback
44100,fir65-p16000-s20000,kaiser-g16,reference,512,97.54,104.5,104.5,104.5,1087680,0,true,5,48,candidate only; not complete A1+B1/plugin callback
44100,fir65-p16000-s20000,kaiser-g16,reference,1024,198.5,216.8,216.8,216.8,1087680,0,true,5,48,candidate only; not complete A1+B1/plugin callback
44100,fir65-p16000-s20000,kaiser-g16,edge,32,6.02,6.1,6.1,6.1,1087680,0,true,5,48,candidate only; not complete A1+B1/plugin callback
44100,fir65-p16000-s20000,kaiser-g16,edge,64,12.02,12.1,12.1,12.1,1087680,0,true,5,48,candidate only; not complete A1+B1/plugin callback
44100,fir65-p16000-s20000,kaiser-g16,edge,128,23.98,24.2,24.2,24.2,1087680,0,true,5,48,candidate only; not complete A1+B1/plugin callback
44100,fir65-p16000-s20000,kaiser-g16,edge,256,48.72,53.6,53.6,53.6,1087680,0,true,5,48,candidate only; not complete A1+B1/plugin callback
