rate,capacity,profile,radius_mm,persistence,mean_us,p95_us,p99_us,worst_us,active_mean,active_peak,event_start_mean_us,event_start_p95_us,eligible,started,steals,drops,output_sum
48000,256,normal-onsets,0.2,0.25,63.4981,71.4,142.7,219.2,0.003,1,0.0481,0.1,12,12,0,0,-0.588285
48000,256,stress-onsets,0.2,0.25,63.9246,70.3,133,256.4,0.015,1,0.0506,0.1,49,49,0,0,-0.586124
48000,256,normal-onsets,0.2,4,65.3485,71.7,134.1,344,0.049,1,0.0549,0.1,12,12,0,0,-0.0374212
48000,256,stress-onsets,0.2,4,64.2386,68.9,120.6,269.6,0.194,1,0.0499,0.1,49,49,0,0,-0.0359381
48000,256,normal-onsets,7,0.25,61.8187,67.8,116.5,256.4,0.308,1,0.0447,0.1,12,12,0,0,-49.8385
48000,256,stress-onsets,7,0.25,65.677,69.5,136.9,253.2,1.245,2,0.0421,0.1,49,49,0,0,-31.9254
48000,256,normal-onsets,7,4,69.2192,74.5,141.1,266.1,4.276,5,0.0413,0.1,12,12,0,0,-12.7912
48000,256,stress-onsets,7,4,75.4943,86.9,169.6,379.9,17.242,20,0.0398,0.1,49,49,0,0,2.77757
96000,16,normal-onsets,0.2,0.25,8.6453,9.6,23.9,78.6,0.002,1,0.0456,0.1,6,6,0,0,-0.585304
96000,16,stress-onsets,0.2,0.25,8.8894,9.4,15.6,82.9,0.015,1,0.0496,0.1,25,25,0,0,-0.584774
96000,16,normal-onsets,0.2,4,8.633,9.2,9.5,19,0.044,1,0.05,0.1,6,6,0,0,-0.0350092
96000,16,stress-onsets,0.2,4,9.9008,10.1,20.4,236.6,0.191,1,0.0471,0.1,25,25,0,0,-0.0348586
96000,16,normal-onsets,7,0.25,8.7982,9.5,25,143.5,0.28,1,0.0399,0.1,6,6,0,0,-27.6084
96000,16,stress-onsets,7,0.25,8.347,9.1,9.3,20.9,1.24,2,0.0438,0.1,25,25,0,0,-33.484
96000,16,normal-onsets,7,4,10.8694,11.8,23.9,248.9,3.402,5,0.0414,0.1,6,6,0,0,11.2333
96000,16,stress-onsets,7,4,16.1019,18.5,30,285.6,11.782,16,0.0494,0.1,25,24,9,0,5.77002
96000,32,normal-onsets,0.2,0.25,10.3511,10.9,18.7,102.5,0.002,1,0.05,0.1,6,6,0,0,-0.585304
96000,32,stress-onsets,0.2,0.25,9.907,10.5,17.2,58,0.015,1,0.0492,0.1,25,25,0,0,-0.584774
96000,32,normal-onsets,0.2,4,9.7704,10.7,21.3,198,0.044,1,0.0487,0.1,6,6,0,0,-0.0350092
96000,32,stress-onsets,0.2,4,9.9944,11,11.6,153.7,0.191,1,0.0487,0.1,25,25,0,0,-0.0348586
96000,32,normal-onsets,7,0.25,10.6525,11,17,190.7,0.28,1,0.0422,0.1,6,6,0,0,-27.6084
96000,32,stress-onsets,7,0.25,11.3814,12.2,31.4,97.1,1.24,2,0.0411,0.1,25,25,0,0,-33.484
96000,32,normal-onsets,7,4,13.7672,15.6,21.4,85,3.402,5,0.0444,0.1,6,6,0,0,11.2333
96000,32,stress-onsets,7,4,19.9056,25.6,36.7,94.1,12.93,20,0.042,0.1,25,25,0,0,-7.1841
96000,64,normal-onsets,0.2,0.25,17.0332,19.1,31.7,153.9,0.002,1,0.0538,0.1,6,6,0,0,-0.585304
96000,64,stress-onsets,0.2,0.25,17.1529,17.3,36.3,106.9,0.015,1,0.0525,0.1,25,25,0,0,-0.584774
96000,64,normal-onsets,0.2,4,16.8454,17.6,29.2,174,0.044,1,0.0532,0.1,6,6,0,0,-0.0350092
96000,64,stress-onsets,0.2,4,15.9936,16.5,30.1,82.6,0.191,1,0.0516,0.1,25,25,0,0,-0.0348586
96000,64,normal-onsets,7,0.25,16.5277,17.3,55.7,161.3,0.28,1,0.0431,0.1,6,6,0,0,-27.6084
96000,64,stress-onsets,7,0.25,15.7031,16.7,26.8,76.1,1.24,2,0.0435,0.1,25,25,0,0,-33.484
96000,64,normal-onsets,7,4,18.4649,21.1,54.5,105.9,3.402,5,0.0391,0.1,6,6,0,0,11.2333
96000,64,stress-onsets,7,4,30.9422,46.5,77.5,152,12.93,20,0.0442,0.1,25,25,0,0,-7.1841
96000,128,normal-onsets,0.2,0.25,34.2955,35.3,81.3,109.3,0.002,1,0.0501,0.1,6,6,0,0,-0.585304
96000,128,stress-onsets,0.2,0.25,35.1595,38.7,92.9,229.9,0.015,1,0.0527,0.1,25,25,0,0,-0.584774
96000,128,normal-onsets,0.2,4,32.5346,35.7,72.3,227.1,0.044,1,0.0477,0.1,6,6,0,0,-0.0350092
96000,128,stress-onsets,0.2,4,33.1638,36.8,84,217.5,0.191,1,0.0539,0.1,25,25,0,0,-0.0348586
96000,128,normal-onsets,7,0.25,30.9419,35.3,68.6,120.5,0.28,1,0.0471,0.1,6,6,0,0,-27.6084
96000,128,stress-onsets,7,0.25,34.59,36.1,84.2,263.4,1.24,2,0.0499,0.1,25,25,0,0,-33.484
96000,128,normal-onsets,7,4,35.2271,36.1,77.7,190.8,3.402,5,0.0407,0.1,6,6,0,0,11.2333
96000,128,stress-onsets,7,4,46.3241,54.6,106.2,255.4,12.93,20,0.047,0.1,25,25,0,0,-7.1841
96000,256,normal-onsets,0.2,0.25,62.3047,68.5,121,165.7,0.002,1,0.0529,0.1,6,6,0,0,-0.585304
96000,256,stress-onsets,0.2,0.25,64.3884,77.1,138.3,271.6,0.015,1,0.0529,0.1,25,25,0,0,-0.584774
96000,256,normal-onsets,0.2,4,65.0324,75.9,131.4,348,0.044,1,0.0516,0.1,6,6,0,0,-0.0350092
96000,256,stress-onsets,0.2,4,64.4775,75,135.7,199.3,0.191,1,0.0537,0.1,25,25,0,0,-0.0348586
96000,256,normal-onsets,7,0.25,65.0012,69.1,122.1,227.6,0.28,1,0.0472,0.1,6,6,0,0,-27.6084
96000,256,stress-onsets,7,0.25,65.9011,72.3,125.7,344.4,1.24,2,0.0438,0.1,25,25,0,0,-33.484
96000,256,normal-onsets,7,4,65.8239,94.9,143.7,444.4,3.402,5,0.0505,0.1,6,6,0,0,11.2333
96000,256,stress-onsets,7,4,73.5319,93.2,136.9,251.8,12.93,20,0.0396,0.1,25,25,0,0,-7.1841
