rate,profile,source,candidate,relative_rms_error,peak_normalized_error,spectral_magnitude_relative_error,finite,outside_band_energy_fraction,reference_convergence_relative_rms,reference_qualified,error_budget_pass
48000,edge,AB,lagrange7,1.2505206114612522,2.10953409353326,1.1144909424745073,True,0.013801516328140476,1.07197871378137e-05,True,False
48000,edge,AB,lagrange15,64.32363596108777,120.06940966800406,63.8587223275766,True,0.013801516328140476,1.07197871378137e-05,True,False
48000,edge,AB,farrow7-fir32,0.7885095502122221,0.6625208225449157,0.7351336679239636,True,0.013801516328140476,1.07197871378137e-05,True,False
48000,edge,AB,vfd-ls32,0.7885061311473007,0.6625176456066518,0.7351302846282364,True,0.013801516328140476,1.07197871378137e-05,True,False
48000,edge,AB,vfd-ls64,33.43880209227781,23.579609836383586,33.3850939101146,True,0.013801516328140476,1.07197871378137e-05,True,False
48000,edge,AB,sinc129-noncausal-control,0.02239519709636547,0.005692269669202558,0.01728803246139578,True,0.013801516328140476,1.07197871378137e-05,True,False
96000,reference,A1,lagrange3,0.01609267737171507,0.06065888469329309,0.012587452079056727,True,0.001362111296651293,1.2658156478757805e-06,True,False
96000,reference,A1,lagrange7,0.055558426057728594,0.24521276234412506,0.03973998602575154,True,0.001362111296651293,1.2658156478757805e-06,True,False
96000,reference,A1,lagrange15,3.63292086731165,14.512054286783977,3.616486771000431,True,0.001362111296651293,1.2658156478757805e-06,True,False
96000,reference,A1,farrow7-fir32,331.58002951155834,765.4295818114335,331.5635395392952,True,0.001362111296651293,1.2658156478757805e-06,True,False
96000,reference,A1,vfd-ls32,331.57817044708446,765.4234739272823,331.56168047478263,True,0.001362111296651293,1.2658156478757805e-06,True,False
96000,reference,A1,vfd-ls64,235.00122306052208,456.1376735311319,234.97789692226056,True,0.001362111296651293,1.2658156478757805e-06,True,False
96000,reference,A1,sinc129-noncausal-control,0.0019868597975975615,0.000858749505901955,0.0012239100301884246,True,0.001362111296651293,1.2658156478757805e-06,True,True
96000,reference,B1,lagrange3,0.00018460213778397983,0.0014574280081118746,0.00012674784901629165,True,1.7548227923957958e-06,2.9841018015049845e-08,True,True
96000,reference,B1,lagrange7,0.00013055950433540084,0.000745418692518053,7.165349423759234e-05,True,1.7548227923957958e-06,2.9841018015049845e-08,True,True
96000,reference,B1,lagrange15,0.0007322666766878229,0.005040579575803576,0.00031219117855638275,True,1.7548227923957958e-06,2.9841018015049845e-08,True,True
96000,reference,B1,farrow7-fir32,7.6619152065357214,39.5793770851447,7.661381200512065,True,1.7548227923957958e-06,2.9841018015049845e-08,True,False
96000,reference,B1,vfd-ls32,7.661807856444829,39.5789793364884,7.661273851028357,True,1.7548227923957958e-06,2.9841018015049845e-08,True,False
96000,reference,B1,vfd-ls64,6.3475108522756996,24.37471448352874,6.346704165043279,True,1.7548227923957958e-06,2.9841018015049845e-08,True,False
96000,reference,B1,sinc129-noncausal-control,2.840615502980171e-05,2.8857354836478758e-05,1.4273502703634415e-05,True,1.7548227923957958e-06,2.9841018015049845e-08,True,True
96000,reference,AB,lagrange3,0.015924514444352594,0.06065884600378917,0.012456029672531427,True,0.0013338275197006004,1.256381033124373e-06,True,False
96000,reference,AB,lagrange7,0.05497778549238273,0.24521272124589147,0.039324640325976504,True,0.0013338275197006004,1.256381033124373e-06,True,False
96000,reference,AB,lagrange15,3.594953817089331,14.512054067351484,3.5786901674846288,True,0.0013338275197006004,1.256381033124373e-06,True,False
96000,reference,AB,farrow7-fir32,328.11660314535266,765.4295722420134,328.10017847911655,True,0.0013338275197006004,1.256381033124373e-06,True,False
96000,reference,AB,vfd-ls32,328.1147634679521,765.4234643579384,328.0983388022655,True,0.0013338275197006004,1.256381033124373e-06,True,False
96000,reference,AB,vfd-ls64,232.54706655228836,456.13766782337757,232.5239083960616,True,0.0013338275197006004,1.256381033124373e-06,True,False
96000,reference,AB,sinc129-noncausal-control,0.00196612458672591,0.0008587634334341679,0.0012109869312304361,True,0.0013338275197006004,1.256381033124373e-06,True,True
96000,edge,A1,lagrange3,0.0425109851682597,0.08023021069459786,0.03299822992451162,True,0.009253865475941253,2.971430600016005e-06,True,False
96000,edge,A1,lagrange7,0.13477480340570003,0.3207002944040376,0.09603058866680549,True,0.009253865475941253,2.971430600016005e-06,True,False
96000,edge,A1,lagrange15,8.713825919688606,18.64220434929203,8.67278075810472,True,0.009253865475941253,2.971430600016005e-06,True,False
96000,edge,A1,farrow7-fir32,810.2712710016524,997.7356039860063,810.2309935772246,True,0.009253865475941253,2.971430600016005e-06,True,False
96000,edge,A1,vfd-ls32,810.2667303421275,997.727642897448,810.2264529172385,True,0.009253865475941253,2.971430600016005e-06,True,False
96000,edge,A1,vfd-ls64,586.4532075599651,596.7522281317764,586.3951736530744,True,0.009253865475941253,2.971430600016005e-06,True,False
96000,edge,A1,sinc129-noncausal-control,0.004835305600898431,0.0010915415584548734,0.002967489807993625,True,0.009253865475941253,2.971430600016005e-06,True,True
96000,edge,B1,lagrange3,0.02127893023760747,0.02919394943048102,0.01725514762913267,True,0.012098808376062833,2.6335643593016717e-06,True,False
96000,edge,B1,lagrange7,0.011144320055015417,0.01606644827667403,0.006088725883541532,True,0.012098808376062833,2.6335643593016717e-06,True,False
96000,edge,B1,lagrange15,0.06247285219676343,0.1143196294822674,0.025092147016505,True,0.012098808376062833,2.6335643593016717e-06,True,False
96000,edge,B1,farrow7-fir32,651.4679497252282,914.9380364476334,651.425034477725,True,0.012098808376062833,2.6335643593016717e-06,True,False
96000,edge,B1,vfd-ls32,651.4581166159064,914.9288046695059,651.4152013632935,True,0.012098808376062833,2.6335643593016717e-06,True,False
96000,edge,B1,vfd-ls64,501.1245424687215,554.136754193609,501.06163729416653,True,0.012098808376062833,2.6335643593016717e-06,True,False
96000,edge,B1,sinc129-noncausal-control,0.0025036704756849137,0.000701539830144699,0.0012589515325264285,True,0.012098808376062833,2.6335643593016717e-06,True,True
96000,edge,AB,lagrange3,0.04251098178041623,0.0802302055328431,0.032998210757357226,True,0.009253865979852805,2.9723928031687865e-06,True,False
96000,edge,AB,lagrange7,0.13477478898927758,0.32070028883107077,0.09603057326963138,True,0.009253865979852805,2.9723928031687865e-06,True,False
96000,edge,AB,lagrange15,8.713825164990675,18.64220431341574,8.672780007869598,True,0.009253865979852805,2.9723928031687865e-06,True,False
96000,edge,AB,farrow7-fir32,810.2712462952181,997.7356023355849,810.2309692678074,True,0.009253865979852805,2.9723928031687865e-06,True,False
96000,edge,AB,vfd-ls32,810.2667056349749,997.7276412470397,810.2264286070991,True,0.009253865979852805,2.9723928031687865e-06,True,False
96000,edge,AB,vfd-ls64,586.4531939105115,596.752227143976,586.3951603564864,True,0.009253865979852805,2.9723928031687865e-06,True,False
96000,edge,AB,sinc129-noncausal-control,0.00483531188012941,0.00109154340142133,0.0029674566332636666,True,0.009253865979852805,2.9723928031687865e-06,True,True
