rate,conditioner,kernel,profile,block,mean_us,p95_us,p99_us,max_us,state_bytes,observed_allocations,reset_partition_exact,measured_blocks,total_latency_samples,scope
44100,fir65-fc20000,kaiser-g32,overlap-reference,64,17.9886,18.9,32,41,2136512,0,true,500,64,candidate and harness only; not plugin budget
44100,fir65-fc20000,kaiser-g32,overlap-reference,128,36.3558,38.3,65.1,137.3,2136512,0,true,500,64,candidate and harness only; not plugin budget
44100,fir65-fc20000,kaiser-g32,overlap-reference,256,71.3852,81.2,100,111.4,2136512,0,true,500,64,candidate and harness only; not plugin budget
44100,fir65-fc20000,kaiser-g32,overlap-reference,257,71.711,83.2,102.3,107.3,2136512,0,true,500,64,candidate and harness only; not plugin budget
44100,fir65-fc20000,kaiser-g32,overlap-reference,512,142.712,166,177.6,183.5,2136512,0,true,500,64,candidate and harness only; not plugin budget
44100,fir65-fc20000,kaiser-g32,overlap-reference,1024,286.487,312.7,332,390,2136512,0,true,500,64,candidate and harness only; not plugin budget
44100,fir65-fc20000,kaiser-g32,sustained-edge,32,8.56,8.6,8.6,8.6,2136512,0,true,5,64,candidate and harness only; not plugin budget
44100,fir65-fc20000,kaiser-g32,sustained-edge,64,18,21.9,21.9,21.9,2136512,0,true,5,64,candidate and harness only; not plugin budget
44100,fir65-fc20000,kaiser-g32,sustained-edge,128,34.2,34.6,34.6,34.6,2136512,0,true,5,64,candidate and harness only; not plugin budget
44100,fir65-fc20000,kaiser-g32,sustained-edge,256,71.28,84.1,84.1,84.1,2136512,0,true,5,64,candidate and harness only; not plugin budget
44100,fir65-fc20000,kaiser-g32,sustained-edge,257,69.14,71.3,71.3,71.3,2136512,0,true,5,64,candidate and harness only; not plugin budget
44100,fir65-fc20000,kaiser-g32,sustained-edge,512,148.34,154.8,154.8,154.8,2136512,0,true,5,64,candidate and harness only; not plugin budget
44100,fir65-fc20000,kaiser-g32,sustained-edge,1024,290.16,319.4,319.4,319.4,2136512,0,true,5,64,candidate and harness only; not plugin budget
48000,butter4-fc20000,kaiser-g16,reference,32,8.12,8.2,8.2,8.2,1087320,0,true,5,16,candidate and harness only; not plugin budget
48000,butter4-fc20000,kaiser-g16,reference,64,15.94,16.3,16.3,16.3,1087320,0,true,5,16,candidate and harness only; not plugin budget
48000,butter4-fc20000,kaiser-g16,reference,128,32.34,32.6,32.6,32.6,1087320,0,true,5,16,candidate and harness only; not plugin budget
48000,butter4-fc20000,kaiser-g16,reference,256,31.5,32,32,32,1087320,0,true,5,16,candidate and harness only; not plugin budget
48000,butter4-fc20000,kaiser-g16,reference,257,31.24,31.8,31.8,31.8,1087320,0,true,5,16,candidate and harness only; not plugin budget
48000,butter4-fc20000,kaiser-g16,reference,512,67.84,82.5,82.5,82.5,1087320,0,true,5,16,candidate and harness only; not plugin budget
48000,butter4-fc20000,kaiser-g16,reference,1024,132.36,145,145,145,1087320,0,true,5,16,candidate and harness only; not plugin budget
48000,butter4-fc20000,kaiser-g16,edge,32,3.94,4,4,4,1087320,0,true,5,16,candidate and harness only; not plugin budget
48000,butter4-fc20000,kaiser-g16,edge,64,8.02,8.2,8.2,8.2,1087320,0,true,5,16,candidate and harness only; not plugin budget
48000,butter4-fc20000,kaiser-g16,edge,128,15.64,15.7,15.7,15.7,1087320,0,true,5,16,candidate and harness only; not plugin budget
48000,butter4-fc20000,kaiser-g16,edge,256,31.5,31.9,31.9,31.9,1087320,0,true,5,16,candidate and harness only; not plugin budget
48000,butter4-fc20000,kaiser-g16,edge,257,32.36,32.8,32.8,32.8,1087320,0,true,5,16,candidate and harness only; not plugin budget
48000,butter4-fc20000,kaiser-g16,edge,512,67.48,72.4,72.4,72.4,1087320,0,true,5,16,candidate and harness only; not plugin budget
48000,butter4-fc20000,kaiser-g16,edge,1024,130.94,143.7,143.7,143.7,1087320,0,true,5,16,candidate and harness only; not plugin budget
48000,butter4-fc20000,kaiser-g16,overlap-reference,32,3.8644,4.4,7.5,34.9,1087320,0,true,500,16,candidate and harness only; not plugin budget
48000,butter4-fc20000,kaiser-g16,overlap-reference,64,9.1878,16,16.7,38.1,1087320,0,true,500,16,candidate and harness only; not plugin budget
48000,butter4-fc20000,kaiser-g16,overlap-reference,128,16.8408,30.7,33,48.7,1087320,0,true,500,16,candidate and harness only; not plugin budget
48000,butter4-fc20000,kaiser-g16,overlap-reference,256,35.4914,63.9,68,94,1087320,0,true,500,16,candidate and harness only; not plugin budget
48000,butter4-fc20000,kaiser-g16,overlap-reference,257,35.4418,64.3,66.9,91.5,1087320,0,true,500,16,candidate and harness only; not plugin budget
48000,butter4-fc20000,kaiser-g16,overlap-reference,512,68.5316,123.9,140.9,160.8,1087320,0,true,500,16,candidate and harness only; not plugin budget
48000,butter4-fc20000,kaiser-g16,overlap-reference,1024,129.713,167,257.5,409.4,1087320,0,true,500,16,candidate and harness only; not plugin budget
48000,butter4-fc20000,kaiser-g16,sustained-edge,32,3.74,4.2,4.2,4.2,1087320,0,true,5,16,candidate and harness only; not plugin budget
48000,butter4-fc20000,kaiser-g16,sustained-edge,64,7.04,7.1,7.1,7.1,1087320,0,true,5,16,candidate and harness only; not plugin budget
48000,butter4-fc20000,kaiser-g16,sustained-edge,128,14.1,14.2,14.2,14.2,1087320,0,true,5,16,candidate and harness only; not plugin budget
48000,butter4-fc20000,kaiser-g16,sustained-edge,256,27.94,28,28,28,1087320,0,true,5,16,candidate and harness only; not plugin budget
48000,butter4-fc20000,kaiser-g16,sustained-edge,257,28.06,28.3,28.3,28.3,1087320,0,true,5,16,candidate and harness only; not plugin budget
48000,butter4-fc20000,kaiser-g16,sustained-edge,512,57.86,63.5,63.5,63.5,1087320,0,true,5,16,candidate and harness only; not plugin budget
48000,butter4-fc20000,kaiser-g16,sustained-edge,1024,117.14,133.4,133.4,133.4,1087320,0,true,5,16,candidate and harness only; not plugin budget
48000,butter6-fc20000,kaiser-g16,reference,32,4.28,4.3,4.3,4.3,1087400,0,true,5,16,candidate and harness only; not plugin budget
48000,butter6-fc20000,kaiser-g16,reference,64,8.58,8.6,8.6,8.6,1087400,0,true,5,16,candidate and harness only; not plugin budget
48000,butter6-fc20000,kaiser-g16,reference,128,17.3,17.4,17.4,17.4,1087400,0,true,5,16,candidate and harness only; not plugin budget
48000,butter6-fc20000,kaiser-g16,reference,256,34.38,34.6,34.6,34.6,1087400,0,true,5,16,candidate and harness only; not plugin budget
48000,butter6-fc20000,kaiser-g16,reference,257,55.38,56.5,56.5,56.5,1087400,0,true,5,16,candidate and harness only; not plugin budget
48000,butter6-fc20000,kaiser-g16,reference,512,69.96,74.1,74.1,74.1,1087400,0,true,5,16,candidate and harness only; not plugin budget
48000,butter6-fc20000,kaiser-g16,reference,1024,135.04,153.8,153.8,153.8,1087400,0,true,5,16,candidate and harness only; not plugin budget
48000,butter6-fc20000,kaiser-g16,edge,32,7.72,7.8,7.8,7.8,1087400,0,true,5,16,candidate and harness only; not plugin budget
48000,butter6-fc20000,kaiser-g16,edge,64,8.38,8.5,8.5,8.5,1087400,0,true,5,16,candidate and harness only; not plugin budget
48000,butter6-fc20000,kaiser-g16,edge,128,17.36,17.5,17.5,17.5,1087400,0,true,5,16,candidate and harness only; not plugin budget
48000,butter6-fc20000,kaiser-g16,edge,256,56.04,57,57,57,1087400,0,true,5,16,candidate and harness only; not plugin budget
48000,butter6-fc20000,kaiser-g16,edge,257,61.82,62.4,62.4,62.4,1087400,0,true,5,16,candidate and harness only; not plugin budget
48000,butter6-fc20000,kaiser-g16,edge,512,117.28,122.8,122.8,122.8,1087400,0,true,5,16,candidate and harness only; not plugin budget
48000,butter6-fc20000,kaiser-g16,edge,1024,226.48,253.2,253.2,253.2,1087400,0,true,5,16,candidate and harness only; not plugin budget
48000,butter6-fc20000,kaiser-g16,overlap-reference,32,3.8484,4.3,4.8,30.4,1087400,0,true,500,16,candidate and harness only; not plugin budget
48000,butter6-fc20000,kaiser-g16,overlap-reference,64,8.3902,11.3,14,53,1087400,0,true,500,16,candidate and harness only; not plugin budget
48000,butter6-fc20000,kaiser-g16,overlap-reference,128,15.7864,17.7,27.8,54.7,1087400,0,true,500,16,candidate and harness only; not plugin budget
48000,butter6-fc20000,kaiser-g16,overlap-reference,256,31.6688,38.3,57.5,67,1087400,0,true,500,16,candidate and harness only; not plugin budget
48000,butter6-fc20000,kaiser-g16,overlap-reference,257,32.024,40,62.3,71.7,1087400,0,true,500,16,candidate and harness only; not plugin budget
48000,butter6-fc20000,kaiser-g16,overlap-reference,512,62.8446,81.6,95.6,100.7,1087400,0,true,500,16,candidate and harness only; not plugin budget
48000,butter6-fc20000,kaiser-g16,overlap-reference,1024,142.062,212.6,242.4,257.1,1087400,0,true,500,16,candidate and harness only; not plugin budget
48000,butter6-fc20000,kaiser-g16,sustained-edge,32,3.76,4.3,4.3,4.3,1087400,0,true,5,16,candidate and harness only; not plugin budget
48000,butter6-fc20000,kaiser-g16,sustained-edge,64,7.1,7.2,7.2,7.2,1087400,0,true,5,16,candidate and harness only; not plugin budget
48000,butter6-fc20000,kaiser-g16,sustained-edge,128,14.18,14.3,14.3,14.3,1087400,0,true,5,16,candidate and harness only; not plugin budget
48000,butter6-fc20000,kaiser-g16,sustained-edge,256,32.22,47.9,47.9,47.9,1087400,0,true,5,16,candidate and harness only; not plugin budget
48000,butter6-fc20000,kaiser-g16,sustained-edge,257,35.54,47.1,47.1,47.1,1087400,0,true,5,16,candidate and harness only; not plugin budget
48000,butter6-fc20000,kaiser-g16,sustained-edge,512,57.88,61.3,61.3,61.3,1087400,0,true,5,16,candidate and harness only; not plugin budget
48000,butter6-fc20000,kaiser-g16,sustained-edge,1024,129.58,163.5,163.5,163.5,1087400,0,true,5,16,candidate and harness only; not plugin budget
48000,fir65-fc20000,kaiser-g16,reference,32,6,6,6,6,1087680,0,true,5,48,candidate and harness only; not plugin budget
48000,fir65-fc20000,kaiser-g16,reference,64,11.9,11.9,11.9,11.9,1087680,0,true,5,48,candidate and harness only; not plugin budget
48000,fir65-fc20000,kaiser-g16,reference,128,23.78,23.9,23.9,23.9,1087680,0,true,5,48,candidate and harness only; not plugin budget
48000,fir65-fc20000,kaiser-g16,reference,256,47.44,47.5,47.5,47.5,1087680,0,true,5,48,candidate and harness only; not plugin budget
48000,fir65-fc20000,kaiser-g16,reference,257,47.6,47.8,47.8,47.8,1087680,0,true,5,48,candidate and harness only; not plugin budget
48000,fir65-fc20000,kaiser-g16,reference,512,103.1,117.4,117.4,117.4,1087680,0,true,5,48,candidate and harness only; not plugin budget
48000,fir65-fc20000,kaiser-g16,reference,1024,208.52,223.6,223.6,223.6,1087680,0,true,5,48,candidate and harness only; not plugin budget
48000,fir65-fc20000,kaiser-g16,edge,32,10.98,11.1,11.1,11.1,1087680,0,true,5,48,candidate and harness only; not plugin budget
48000,fir65-fc20000,kaiser-g16,edge,64,11.98,12.1,12.1,12.1,1087680,0,true,5,48,candidate and harness only; not plugin budget
48000,fir65-fc20000,kaiser-g16,edge,128,23.8,23.9,23.9,23.9,1087680,0,true,5,48,candidate and harness only; not plugin budget
48000,fir65-fc20000,kaiser-g16,edge,256,51.68,67.5,67.5,67.5,1087680,0,true,5,48,candidate and harness only; not plugin budget
48000,fir65-fc20000,kaiser-g16,edge,257,51.46,64.8,64.8,64.8,1087680,0,true,5,48,candidate and harness only; not plugin budget
48000,fir65-fc20000,kaiser-g16,edge,512,108.14,123.3,123.3,123.3,1087680,0,true,5,48,candidate and harness only; not plugin budget
48000,fir65-fc20000,kaiser-g16,edge,1024,207.2,229.6,229.6,229.6,1087680,0,true,5,48,candidate and harness only; not plugin budget
48000,fir65-fc20000,kaiser-g16,overlap-reference,32,6.5502,10.2,11.9,34.7,1087680,0,true,500,48,candidate and harness only; not plugin budget
48000,fir65-fc20000,kaiser-g16,overlap-reference,64,13.4362,20.8,23.6,54.4,1087680,0,true,500,48,candidate and harness only; not plugin budget
48000,fir65-fc20000,kaiser-g16,overlap-reference,128,41.9562,67,70.4,120.1,1087680,0,true,500,48,candidate and harness only; not plugin budget
48000,fir65-fc20000,kaiser-g16,overlap-reference,256,53.4246,69.3,79,212.7,1087680,0,true,500,48,candidate and harness only; not plugin budget
48000,fir65-fc20000,kaiser-g16,overlap-reference,257,50.5008,54.2,78.6,152.7,1087680,0,true,500,48,candidate and harness only; not plugin budget
48000,fir65-fc20000,kaiser-g16,overlap-reference,512,101.187,123.7,142.3,211,1087680,0,true,500,48,candidate and harness only; not plugin budget
48000,fir65-fc20000,kaiser-g16,overlap-reference,1024,205.764,237.9,325.5,376,1087680,0,true,500,48,candidate and harness only; not plugin budget
