rate,delay_ms,index,ideal_notch_hz,spacing_hz,ideal_magnitude
44100,5.0,63,12700.0,200.0,4.894873312769882e-15
44100,5.0,64,12900.0,200.0,2.645608474540236e-14
44100,5.0,65,13100.0,200.0,8.82612268277318e-15
44100,5.0,66,13300.0,200.0,1.2735088749859296e-14
44100,5.0,67,13500.0,200.0,2.2547118678316243e-14
44100,5.0,68,13700.0,200.0,9.85907245683766e-16
44100,5.0,69,13900.0,200.0,2.057530418694871e-14
44100,5.0,70,14100.0,200.0,1.4706903241226827e-14
44100,5.0,71,14300.0,200.0,6.854308191405648e-15
44100,5.0,72,14500.0,200.0,2.842789923676989e-14
44100,5.0,73,14700.0,200.0,4.99767310566706e-14
44100,5.0,74,14900.0,200.0,1.469452362849506e-14
44100,5.0,75,15100.0,200.0,3.625573506112754e-14
44100,5.0,76,15300.0,200.0,9.73527632951999e-16
44100,5.0,77,15500.0,200.0,2.2534739065584474e-14
44100,5.0,78,15700.0,200.0,1.2747468362591063e-14
44100,5.0,79,15900.0,200.0,8.813743070041413e-15
44100,5.0,80,16100.0,200.0,2.6468464358134125e-14
44100,5.0,81,16300.0,200.0,5.193616593530636e-14
44100,5.0,82,16500.0,200.0,4.018946035367719e-14
44100,5.0,83,16700.0,200.0,1.8628248921044712e-14
44100,5.0,84,16900.0,200.0,2.932962511587764e-15
44100,5.0,85,17100.0,200.0,2.449417394422024e-14
44100,5.0,86,17300.0,200.0,4.605538537685272e-14
44100,5.0,87,17500.0,200.0,6.761659680948519e-14
44100,5.0,88,17700.0,200.0,2.450902947949836e-14
44100,5.0,89,17900.0,200.0,2.9478180468658846e-15
44100,5.0,90,18100.0,200.0,1.8613393385766592e-14
44100,5.0,91,18300.0,200.0,4.017460481839907e-14
44100,5.0,92,18500.0,200.0,5.1951021470584486e-14
44100,5.0,93,18700.0,200.0,3.038981003795201e-14
44100,5.0,94,18900.0,200.0,8.828598605319534e-15
44100,5.0,95,19100.0,200.0,1.2732612827312944e-14
44100,5.0,96,19300.0,200.0,3.429382425994542e-14
