rate,conditioner,profile,source,next128_tail_peak_ratio,finite_window_pass
48000,bessel4-fc18000,overlap-reference,B1,6.334e-321,True
48000,bessel4-fc18000,overlap-reference,AB,1.5e-323,True
48000,bessel4-fc18000,sustained-edge,A1,2e-323,True
48000,bessel4-fc18000,sustained-edge,B1,1.68516e-319,True
48000,bessel4-fc18000,sustained-edge,AB,2e-323,True
48000,bessel4-fc20000,reference,A1,7.07e-322,True
48000,bessel4-fc20000,reference,B1,5.68e-320,True
48000,bessel4-fc20000,reference,AB,7.07e-322,True
48000,bessel4-fc20000,edge,A1,1.665e-321,True
48000,bessel4-fc20000,edge,B1,6.07345e-319,True
48000,bessel4-fc20000,edge,AB,1.665e-321,True
48000,bessel4-fc20000,overlap-reference,A1,5e-324,True
48000,bessel4-fc20000,overlap-reference,B1,2.5247e-320,True
48000,bessel4-fc20000,overlap-reference,AB,5e-324,True
48000,bessel4-fc20000,sustained-edge,A1,3.5e-323,True
48000,bessel4-fc20000,sustained-edge,B1,1.079726e-318,True
48000,bessel4-fc20000,sustained-edge,AB,3.5e-323,True
48000,fir33-fc18000,reference,A1,0.0,True
48000,fir33-fc18000,reference,B1,0.0,True
48000,fir33-fc18000,reference,AB,0.0,True
48000,fir33-fc18000,edge,A1,0.0,True
48000,fir33-fc18000,edge,B1,0.0,True
48000,fir33-fc18000,edge,AB,0.0,True
48000,fir33-fc18000,overlap-reference,A1,0.0,True
48000,fir33-fc18000,overlap-reference,B1,0.0,True
48000,fir33-fc18000,overlap-reference,AB,0.0,True
48000,fir33-fc18000,sustained-edge,A1,0.0,True
48000,fir33-fc18000,sustained-edge,B1,0.0,True
48000,fir33-fc18000,sustained-edge,AB,0.0,True
48000,fir33-fc20000,reference,A1,0.0,True
48000,fir33-fc20000,reference,B1,0.0,True
48000,fir33-fc20000,reference,AB,0.0,True
48000,fir33-fc20000,edge,A1,0.0,True
48000,fir33-fc20000,edge,B1,0.0,True
48000,fir33-fc20000,edge,AB,0.0,True
48000,fir33-fc20000,overlap-reference,A1,0.0,True
48000,fir33-fc20000,overlap-reference,B1,0.0,True
48000,fir33-fc20000,overlap-reference,AB,0.0,True
48000,fir33-fc20000,sustained-edge,A1,0.0,True
48000,fir33-fc20000,sustained-edge,B1,0.0,True
48000,fir33-fc20000,sustained-edge,AB,0.0,True
48000,fir65-fc18000,reference,A1,0.0,True
48000,fir65-fc18000,reference,B1,0.0,True
48000,fir65-fc18000,reference,AB,0.0,True
48000,fir65-fc18000,edge,A1,0.0,True
48000,fir65-fc18000,edge,B1,0.0,True
48000,fir65-fc18000,edge,AB,0.0,True
48000,fir65-fc18000,overlap-reference,A1,0.0,True
48000,fir65-fc18000,overlap-reference,B1,0.0,True
48000,fir65-fc18000,overlap-reference,AB,0.0,True
48000,fir65-fc18000,sustained-edge,A1,0.0,True
48000,fir65-fc18000,sustained-edge,B1,0.0,True
48000,fir65-fc18000,sustained-edge,AB,0.0,True
48000,fir65-fc20000,reference,A1,0.0,True
48000,fir65-fc20000,reference,B1,0.0,True
48000,fir65-fc20000,reference,AB,0.0,True
48000,fir65-fc20000,edge,A1,0.0,True
48000,fir65-fc20000,edge,B1,0.0,True
48000,fir65-fc20000,edge,AB,0.0,True
