rate,conditioner,profile,source,relative_rms_error,peak_normalized_error,spectral_magnitude_relative_error,finite,peak_ratio,first_nonzero_shift_samples,engineering_latency_removed
44100,iir-p16000-s21609,sustained-edge,B1,1.581876016907867,1.3120461615681787,0.38073204635857805,True,0.6284408048208419,0,0
44100,iir-p16000-s21609,sustained-edge,AB,0.8469187018694658,0.4729718710282351,0.11946973824109289,True,1.0522030459905212,0,0
44100,fir17-p16000-s21609,reference,A1,0.0170357489243267,0.04753056067959648,0.017037381552600678,True,1.0196482954216823,0,8
44100,fir17-p16000-s21609,reference,B1,0.0016437208665669365,0.007133191886949797,0.0016438614270500797,True,0.9999813610365128,0,8
44100,fir17-p16000-s21609,reference,AB,0.01701393199074616,0.04753056067959648,0.01701554537524773,True,1.0196482954216823,0,8
44100,fir17-p16000-s21609,edge,A1,0.2056826287477356,0.22522557647188432,0.20568893808532898,True,0.947180958822994,0,8
44100,fir17-p16000-s21609,edge,B1,0.36909731685227015,0.28656816351934533,0.36910359346921306,True,0.7264877523559706,0,8
44100,fir17-p16000-s21609,edge,AB,0.20568265926905252,0.22522557647188432,0.20568896196802808,True,0.947180958822994,0,8
44100,fir17-p16000-s21609,overlap-reference,A1,0.0023373619431788437,0.005577773171463826,0.002337597989111718,True,0.9999424143352567,0,8
44100,fir17-p16000-s21609,overlap-reference,B1,0.0016437209525885256,0.0071331900389315145,0.0016438615139909027,True,0.9999813538278037,0,8
44100,fir17-p16000-s21609,overlap-reference,AB,0.002337358454938888,0.005577773171463826,0.0023375952162083893,True,0.9999424143352567,0,8
44100,fir17-p16000-s21609,sustained-edge,A1,0.11104948589071657,0.08129090553438273,0.11105490355192303,True,1.0291118497175213,0,8
44100,fir17-p16000-s21609,sustained-edge,B1,0.3690973133891616,0.2865681550124818,0.36910359000530296,True,0.7264877613301803,0,8
44100,fir17-p16000-s21609,sustained-edge,AB,0.11104936555539756,0.08129090553438273,0.1110547856324337,True,1.0291118497175213,0,8
44100,fir33-p16000-s21609,reference,A1,0.018407739327632736,0.043870760730753834,0.01840686332556822,True,1.0223889931329573,0,16
44100,fir33-p16000-s21609,reference,B1,0.0018580340495987853,0.007052648212767188,0.0018579078518036946,True,1.0004129568369526,0,16
44100,fir33-p16000-s21609,reference,AB,0.01838418627012932,0.043870760730753834,0.018383291646755864,True,1.0223889931329573,0,16
44100,fir33-p16000-s21609,edge,A1,0.20275322267625362,0.1974918465598074,0.20274665838574318,True,0.9609340675143919,0,16
44100,fir33-p16000-s21609,edge,B1,0.3454042697897146,0.25491494594711506,0.3453941015676769,True,0.7877653322380864,0,16
44100,fir33-p16000-s21609,edge,AB,0.20275324845256343,0.1974918465598074,0.20274667563126259,True,0.9609340675143919,0,16
44100,fir33-p16000-s21609,overlap-reference,A1,0.002526619318215529,0.005394677981878415,0.0025265414881099125,True,1.0005136231778955,0,16
44100,fir33-p16000-s21609,overlap-reference,B1,0.0018580345457433931,0.007052647743273148,0.001857908349054805,True,1.0004129507917454,0,16
44100,fir33-p16000-s21609,overlap-reference,AB,0.002526612666374806,0.005394677981878415,0.0025265358295557916,True,1.0005136231778955,0,16
44100,fir33-p16000-s21609,sustained-edge,A1,0.11217406122156356,0.07128094192615782,0.11216778352172432,True,1.0332583151638932,0,16
44100,fir33-p16000-s21609,sustained-edge,B1,0.3454042641710067,0.2549149386319702,0.34539409595029,True,0.787765341424158,0,16
44100,fir33-p16000-s21609,sustained-edge,AB,0.11217390755015226,0.07128094192615782,0.11216763364407269,True,1.0332583151638932,0,16
44100,fir65-p16000-s21609,reference,A1,0.019317980794797525,0.04323892113030323,0.019313807484240005,True,1.0228910873089303,0,32
44100,fir65-p16000-s21609,reference,B1,0.001923737400332419,0.006898201258338215,0.00192329915126648,True,1.0002414024713653,0,32
