rate,conditioner,order,pass_hz,stop_hz,latency_samples,latency_ms,pass_error_db,stop_max_db,response16_db,response18_db,response20_db,group_min_ms,group_max_ms,before_main_energy_fraction,after_main_energy_fraction,before_input_energy,ringing_span_ms,max_pole_radius,filter_screen_pass
44100,fir65-p16000-s20000,64,16000,20000,32,0.7256235827664399,0.004892980281741044,-69.41074629146561,-0.004892980281741044,-6.018727265462697,-69.41074629146561,0.7256235827638001,0.7256235827695747,0.08530841724108176,0.08530841724108178,0.0,1.4058956916099772,0.0,True
44100,fir129-p16000-s20000,128,16000,20000,64,1.4512471655328798,0.0023236716231184646,-72.14278806696056,-0.0006022054658969447,-6.020405555154537,-79.8505963835662,1.4512471655258885,1.4512471655391495,0.08859847095572598,0.08859847095572598,0.0,2.857142857142857,0.0,True
44100,iir-p16000-s21609,4,16000,21609.0,0,0.0,0.10000000000000375,-76.8957949416474,-0.10000000000000375,-2.4874907854739394,-23.294165720039224,0.008514947489766061,0.061248561677594175,0.2766415052190143,0.13822543864130624,0.0,0.9297052154195011,0.8137902984417374,True
44100,fir17-p16000-s21609,16,16000,21609.0,8,0.18140589569160998,0.7760449319369173,-18.761949888416723,-0.7760449319369173,-3.7708219536511214,-10.875928754363823,0.18140589569095003,0.18140589569238852,0.046397993657617924,0.046397993657617924,0.0,0.36281179138321995,0.0,False
44100,fir33-p16000-s21609,32,16000,21609.0,16,0.36281179138321995,0.010095947637127137,-66.43113764246371,0.00998986691719515,-2.1888261586978808,-18.12105847587857,0.36281179138146696,0.3628117913838799,0.060343675909029254,0.06034367590902925,0.0,0.7256235827664399,0.0,True
44100,fir65-p16000-s21609,64,16000,21609.0,32,0.7256235827664399,0.002671957245449538,-70.4386645090831,-0.00048734738490087745,-0.48861751971492845,-50.81124748103217,0.7256235827638001,0.7256235827695747,0.06707024741674329,0.06707024741674328,0.0,1.4512471655328798,0.0,True
44100,fir129-p16000-s21609,128,16000,21609.0,64,1.4512471655328798,0.0032892583380521984,-72.59050090031552,-0.0032892583380521984,3.59867567798342e-05,-64.75218769147097,1.4512471655258885,1.4512471655391495,0.07035693373911504,0.07035693373911503,0.0,2.9024943310657596,0.0,True
44100,iir-p18000-s19000,30,18000,19000,0,0.0,0.09999999999991205,-60.793037950418764,-4.2912572261622336e-13,-0.09999999999991205,-166.60517984673754,0.060391324738070414,1.4303818230225245,0.06414087343165446,0.6638069399590337,0.0,6.8480725623582765,0.9732816553786245,True
44100,fir17-p18000-s19000,16,18000,19000,8,0.18140589569160998,4.534465903546076,-7.804804151475231,-1.0456440306796266,-4.534465903546076,-12.482429558121781,0.18140589569095003,0.18140589569238852,0.05318088876006858,0.053180888760068594,0.0,0.36281179138321995,0.0,False
44100,fir33-p18000-s19000,32,18000,19000,16,0.36281179138321995,3.3375041790711695,-9.922056898221797,-0.00865666579481126,-3.3375041790711695,-23.113760364599173,0.36281179138146696,0.3628117913845399,0.06724166236178997,0.06724166236178995,0.0,0.7256235827664399,0.0,False
44100,fir65-p18000-s19000,64,18000,19000,32,0.7256235827664399,1.6170624572408667,-15.41001764419164,0.0038678250930307694,-1.6170624572408667,-64.02378574328345,0.7256235827629443,0.7256235827695747,0.07397336058006485,0.07397336058006483,0.0,1.4512471655328798,0.0,False
44100,fir129-p18000-s19000,128,18000,19000,64,1.4512471655328798,0.15973184608973665,-34.74733572059735,0.003491821466468015,-0.15973184608973665,-66.11855872704143,1.4512471655258885,1.4512471655391495,0.07726128985951497,0.07726128985951498,0.0,2.766439909297052,0.0,False
44100,iir-p18000-s20000,13,18000,20000,0,0.0,0.09999999999996667,-62.94319007452397,-1.1524116538657926e-06,-0.09999999999996667,-62.94319007452397,0.024158467329947322,0.4762951266468643,0.31853276903946476,0.2987607391888646,0.0,3.2199546485260773,0.9435080533958954,True
44100,fir17-p18000-s20000,16,18000,20000,8,0.18140589569160998,3.330912006319204,-9.916742082727596,-0.6304629674142381,-3.330912006319204,-9.916742082727596,0.18140589569073606,0.18140589569226995,0.042089330288668896,0.042089330288668896,0.0,0.36281179138321995,0.0,False
44100,fir33-p18000-s20000,32,18000,20000,16,0.36281179138321995,1.6148348860774626,-15.427505444728144,0.009179604538615894,-1.6148348860774626,-15.427505444728144,0.3628117913814721,0.3628117913845399,0.055914779347437736,0.055914779347437736,0.0,0.7256235827664399,0.0,False
44100,fir65-p18000-s20000,64,18000,20000,32,0.7256235827664399,0.1593476836486855,-34.761267800492355,-0.0026464640452895064,-0.1593476836486855,-34.761267800492355,0.7256235827638001,0.7256235827695747,0.06263815720284249,0.06263815720284249,0.0,1.4512471655328798,0.0,False
44100,fir129-p18000-s20000,128,18000,20000,64,1.4512471655328798,0.004495101729549424,-67.24062096647073,0.0004178041698798794,-0.004495101729549424,-68.26431382802375,1.4512471655258885,1.4512471655391495,0.06592408602068697,0.06592408602068697,0.0,2.857142857142857,0.0,True
44100,iir-p18000-s21609,4,18000,21609.0,0,0.0,0.09999999999999301,-61.685330412589266,-0.0030465654895706442,-0.09999999999999301,-8.693623194397047,0.00549605577948476,0.0852296651021308,0.0,0.5672973701022183,0.0,1.4058956916099772,0.8709862858253451,True
44100,fir17-p18000-s21609,16,18000,21609.0,8,0.18140589569160998,1.8919094580920748,-10.737207720914121,-0.22094215474689566,-1.8919094580920748,-6.480208228848909,0.18140589569095003,0.18140589569239368,0.025171062584658857,0.025171062584658857,0.0,0.36281179138321995,0.0,False
44100,fir33-p18000-s21609,32,18000,21609.0,16,0.36281179138321995,0.29527206983077603,-29.679253415901506,-0.00523285222833801,-0.29527206983077603,-7.385454928407906,0.36281179138190006,0.36281179138478736,0.037689066617677534,0.037689066617677534,0.0,0.7256235827664399,0.0,False
44100,fir65-p18000-s21609,64,18000,21609.0,32,0.7256235827664399,0.008434490930852004,-64.88785304681146,0.0018241086183635072,-0.008154724708249031,-8.946776491002122,0.7256235827629443,0.7256235827695747,0.044399544349135116,0.044399544349135116,0.0,1.4512471655328798,0.0,True
44100,fir129-p18000-s21609,128,18000,21609.0,64,1.4512471655328798,0.0041687076413420895,-68.46234658431455,0.0027336341011040405,0.0041687076413420895,-12.78702284644156,1.4512471655258885,1.4512471655391495,0.047682437376999225,0.047682437376999225,0.0,2.9024943310657596,0.0,True
48000,iir-p16000-s18000,27,16000,18000,0,0.0,0.10000000000004472,-61.548387176258714,-0.10000000000004472,-61.548387176258714,-163.70118972132164,0.09647626355616963,0.7232833522157307,0.29114644182274024,0.4532389856641557,0.0,3.7708333333333335,0.9525772422995735,True
48000,fir17-p16000-s18000,16,16000,18000,8,0.16666666666666666,3.5163458563570655,-9.551623772168883,-3.5163458563570655,-9.551623772168883,-21.016944078828132,0.16666666666636348,0.166666666667273,0.1181199906568141,0.1181199906568141,0.0,0.3333333333333333,0.0,False
48000,fir33-p16000-s18000,32,16000,18000,16,0.3333333333333333,1.8365890678761463,-14.395190893518436,-1.8365890678761463,-14.395190893518436,-59.65532621356906,0.33333333333272697,0.333333333334546,0.13249837531772032,0.13249837531772032,0.0,0.6666666666666666,0.0,False
48000,fir65-p16000-s18000,64,16000,18000,32,0.6666666666666666,0.26982124366309007,-30.31667500332262,-0.26982124366309007,-30.31667500332262,-96.7451194012913,0.6666666666654539,0.666666666669092,0.1392890470249653,0.1392890470249653,0.0,1.3333333333333333,0.0,False
48000,fir129-p16000-s18000,128,16000,18000,64,1.3333333333333333,0.005591956121462073,-63.511270681102765,-0.005495644297997658,-63.62142666671125,-74.02864184201957,1.3333333333284827,1.3333333333357587,0.14259114693482092,0.1425911469348209,0.0,2.6666666666666665,0.0,True
