rate,candidate,fixture,relative_rms_error,peak_normalized_error,spectral_magnitude_relative_error,finite,reference_convergence_relative_rms,reference_qualified,python_wall_seconds
96000,lagrange3,broadband,0.33797987512214495,0.5910293537087539,0.25556580009611185,True,2.126049822006171e-05,True,0.010984799999278039
96000,lagrange3,transient,0.003116229015699955,0.02515988092398067,0.0030813755826935582,True,1.6368478948732595e-08,True,0.011880399979418144
96000,lagrange3,multitone,0.01196387510707444,0.01876209385809482,0.009141337548357345,True,0.0,True,0.01733929998590611
96000,lagrange3,sine4000,9.696554879158789e-05,0.00019388740061851854,9.151803041681748e-05,True,0.0,True,0.009302599995862693
96000,lagrange3,sine8000,0.0015236755194567395,0.003015345423715652,0.001380439542163988,True,0.0,True,0.025622399989515543
96000,lagrange3,sine12000,0.007484398027432882,0.014560321377009987,0.005357744615747651,True,0.0,True,0.00926289998460561
96000,lagrange3,sine16000,0.022674593577531935,0.04361579330595962,0.0174287592868789,True,0.0,True,0.013886900007491931
96000,lagrange7,impulse,0.7430448784410967,0.5380676218588616,0.3123180525800355,True,2.7950472319979926e-05,True,0.02847649998147972
96000,lagrange7,broadband,0.8602849639952715,2.501973347214907,0.5997302936309851,True,2.126049822006171e-05,True,0.028923400008352473
96000,lagrange7,transient,0.004540040515704319,0.059138899146633284,0.002408454231986789,True,1.6368478948732595e-08,True,0.026740800007246435
96000,lagrange7,multitone,0.0022819541880036627,0.005436995231583966,0.0019834841892172285,True,0.0,True,0.034593199990922585
96000,lagrange7,sine4000,9.21357153644297e-08,3.4360046893189753e-07,6.37476412258887e-08,True,0.0,True,0.04527950001647696
96000,lagrange7,sine8000,2.2289853118933966e-05,8.279032308895423e-05,7.3500935178404e-06,True,0.0,True,0.031360599998151883
96000,lagrange7,sine12000,0.000519200037439092,0.001917437107494111,0.00036076856117689323,True,0.0,True,0.03283069998724386
96000,lagrange7,sine16000,0.004534153478566834,0.015589148816036456,0.00395080652367008,True,0.0,True,0.03150159999495372
96000,lagrange15,impulse,19.027412036354065,13.220517814730227,18.72194804844039,True,2.7950472319979926e-05,True,0.1283893999934662
96000,lagrange15,broadband,50.97709172800232,155.19673015899343,50.62021897667402,True,2.126049822006171e-05,True,0.10926159998052754
96000,lagrange15,transient,0.10826068490834008,1.4150321375193993,0.10614021750317791,True,1.6368478948732595e-08,True,0.10181619998184033
96000,lagrange15,multitone,0.0007739876413199602,0.001879897972462972,0.00040801028713001404,True,0.0,True,0.14358599999104626
96000,lagrange15,sine4000,1.301385768630638e-11,1.6659085231522575e-10,9.149528555699998e-12,True,0.0,True,0.1069015999964904
