rate,conditioner,profile,source,relative_rms_error,peak_normalized_error,spectral_magnitude_relative_error,finite,peak_ratio
48000,butter4-fc20000,reference,A1,0.6255212398379302,0.5656183602324266,0.06787714068762409,True,1.0669528795043264
48000,butter4-fc20000,reference,B1,0.0757263388547084,0.10318767682119535,0.0015791536901374498,True,0.9969706498368387
48000,butter4-fc20000,reference,AB,0.6065594878753859,0.5656183602324266,0.06578954245778534,True,1.0669528795043264
48000,butter4-fc20000,edge,A1,1.0414938699364535,0.9742569842890818,0.13576718919870173,True,0.9895283377932905
48000,butter4-fc20000,edge,B1,1.4471740086314928,1.299557119362684,0.1923224812371623,True,0.8621697583702833
48000,butter4-fc20000,edge,AB,1.041493997800835,0.9742569842890818,0.13576720698547284,True,0.9895283377932905
48000,butter4-fc20000,overlap-reference,A1,0.048140427783975544,0.06620404192387791,0.0016775037622189506,True,1.0003879167934777
48000,butter4-fc20000,overlap-reference,B1,0.07572633883012209,0.10318767920155554,0.0015791551243935025,True,0.9969706649577602
48000,butter4-fc20000,overlap-reference,AB,0.048140533663534366,0.06620404192387791,0.0016775028770306937,True,1.0003879167934777
48000,butter4-fc20000,sustained-edge,A1,0.5908936974360556,0.3806745647461212,0.06988617007425067,True,1.0176714279839103
48000,butter4-fc20000,sustained-edge,B1,1.4471740081796467,1.299557121141423,0.19232247417954887,True,0.8621697680070671
48000,butter4-fc20000,sustained-edge,AB,0.5908937072548948,0.3806745647461212,0.0698861698133558,True,1.0176714279839103
48000,butter6-fc18000,reference,A1,1.2200556920938643,1.1493358329389345,0.09494561549799956,True,1.1032845371424238
48000,butter6-fc18000,reference,B1,0.17266244986721774,0.19033669110297619,0.002103465603806368,True,0.9963546196999894
48000,butter6-fc18000,reference,AB,1.183276280283066,1.1493358329389345,0.09202536169148481,True,1.1032845371424238
48000,butter6-fc18000,edge,A1,1.7558973492602779,1.5183486399281725,0.19754534111512465,True,0.8307057521036398
48000,butter6-fc18000,edge,B1,1.4708635998578634,1.4360479145828355,0.4103514306069608,True,0.661043166402528
48000,butter6-fc18000,edge,AB,1.7558972801695765,1.5183486399281725,0.1975454272821823,True,0.8307057521036398
48000,butter6-fc18000,overlap-reference,A1,0.10882442278307748,0.12421263788229586,0.0023105182572860762,True,0.9975421862500269
48000,butter6-fc18000,overlap-reference,B1,0.17266244982011006,0.19033667026299964,0.002103467332425472,True,0.996354634845947
48000,butter6-fc18000,overlap-reference,AB,0.10882466916625955,0.12421263788229586,0.0023105171766489717,True,0.9975421862500269
48000,butter6-fc18000,sustained-edge,A1,1.071252698665041,0.7056216456555279,0.10374389516888402,True,1.0453565158268623
48000,butter6-fc18000,sustained-edge,B1,1.4708636094961451,1.4360479066968903,0.41035142684446535,True,0.6610431620812071
48000,butter6-fc18000,sustained-edge,AB,1.0712527018323859,0.7056216456555279,0.10374389895519158,True,1.0453565158268623
48000,butter6-fc20000,reference,A1,0.8734543699759848,0.8239788322019825,0.07127606741767688,True,1.0003268668517649
48000,butter6-fc20000,reference,B1,0.1118468711995611,0.13670140114231805,0.0016561611984207583,True,1.002717739090619
48000,butter6-fc20000,reference,AB,0.8470244125579353,0.8239788322019825,0.06908393030904725,True,1.0003268668517649
48000,butter6-fc20000,edge,A1,1.3946561607195713,1.2558629373912782,0.14271996277855514,True,0.9003683936889783
48000,butter6-fc20000,edge,B1,1.7562954649687303,1.5188088983939787,0.20552633705565063,True,0.859279202171343
48000,butter6-fc20000,edge,AB,1.3946562684915444,1.2558629373912782,0.14271998275836462,True,0.9003683936889783
48000,butter6-fc20000,overlap-reference,A1,0.07086005669040077,0.08493934688364056,0.0017611964704088185,True,0.9999211143198671
48000,butter6-fc20000,overlap-reference,B1,0.11184687111620606,0.1367014039559084,0.0016561627185199565,True,1.0027177466877117
48000,butter6-fc20000,overlap-reference,AB,0.07086021435626451,0.08493934688364056,0.001761195584963837,True,0.9999211143198671
48000,butter6-fc20000,sustained-edge,A1,0.8066983173569301,0.4884029438053655,0.07369349195358653,True,0.9631082872337594
48000,butter6-fc20000,sustained-edge,B1,1.7562954651120772,1.5188088629713348,0.2055263300450834,True,0.8592791818751935
48000,butter6-fc20000,sustained-edge,AB,0.806698327409274,0.4884029438053655,0.07369349183776339,True,0.9631082872337594
48000,bessel4-fc18000,reference,A1,0.7206989872254259,0.6510018114570923,0.09706131562733376,True,1.015946360720788
48000,bessel4-fc18000,reference,B1,0.09456753079594604,0.11805135974987988,0.0019685292731607194,True,0.9961054187551065
48000,bessel4-fc18000,reference,AB,0.6989097509074484,0.6510018114570923,0.09407574778903903,True,1.015946360720788
48000,bessel4-fc18000,edge,A1,1.1300378519138246,1.0204862988077532,0.20156695578379583,True,0.8639272386413613
48000,bessel4-fc18000,edge,B1,1.3933651931853064,1.1972233925611184,0.34153222548009227,True,0.6792477374189488
48000,bessel4-fc18000,edge,AB,1.1300379294751481,1.0204862988077532,0.20156700531702568,True,0.8639272386413613
48000,bessel4-fc18000,overlap-reference,A1,0.059835539922549905,0.07414686864667655,0.002272062695721803,True,0.998800274573574
48000,bessel4-fc18000,overlap-reference,B1,0.09456753076367817,0.11805136227736315,0.0019685305411104494,True,0.9961054309098675
48000,bessel4-fc18000,overlap-reference,AB,0.05983567363473386,0.07414686864667655,0.0022720613851352875,True,0.998800274573574
48000,bessel4-fc18000,sustained-edge,A1,0.6606763758181793,0.4263459772147324,0.10375272905345792,True,0.9541611209557506
48000,bessel4-fc18000,sustained-edge,B1,1.3933651939814382,1.197223404390503,0.3415322214707493,True,0.6792477298818166
48000,bessel4-fc18000,sustained-edge,AB,0.6606763833879219,0.4263459772147324,0.10375273124043197,True,0.9541611209557506
48000,bessel4-fc20000,reference,A1,0.5005399460488437,0.4793720758938061,0.06658143680009096,True,1.054062545204364
48000,bessel4-fc20000,reference,B1,0.06126007599074024,0.08551621869069795,0.0014820016460468115,True,0.9996687846994798
48000,bessel4-fc20000,reference,AB,0.48537186899527823,0.4793720758938061,0.06453359330626188,True,1.054062545204364
48000,bessel4-fc20000,edge,A1,0.8259857794182692,0.8058794153299873,0.13483182268759003,True,0.9057967940701789
48000,bessel4-fc20000,edge,B1,1.133079161722014,1.0236787324628724,0.19937106982040295,True,0.8480971026353236
48000,bessel4-fc20000,edge,AB,0.8259858754914864,0.8058794153299873,0.13483184354711467,True,0.9057967940701789
48000,bessel4-fc20000,overlap-reference,A1,0.03891994506051782,0.05550492261207707,0.0016150348026219097,True,1.000008355859961
48000,bessel4-fc20000,overlap-reference,B1,0.0612600760217509,0.0855162207418669,0.0014820028946859322,True,0.9996687927480004
48000,bessel4-fc20000,overlap-reference,AB,0.03892003083560522,0.05550492261207707,0.001615033815627916,True,1.000008355859961
48000,bessel4-fc20000,sustained-edge,A1,0.47091235981262847,0.3191544147879074,0.0689574563912343,True,1.0411200671531233
48000,bessel4-fc20000,sustained-edge,B1,1.1330791610657924,1.0236787370165883,0.19937106404590826,True,0.8480971110940358
48000,bessel4-fc20000,sustained-edge,AB,0.4709123672132879,0.3191544147879074,0.06895745644315783,True,1.0411200671531233
48000,fir33-fc18000,reference,A1,0.10301449751999142,0.14501953738127132,0.10299592997729437,True,1.0040566698306113
48000,fir33-fc18000,reference,B1,0.0022393479031981222,0.011073382335195656,0.0022389925757069495,True,1.0011482848789657
48000,fir33-fc18000,reference,AB,0.09984610295370895,0.14501953738127132,0.09982801293200813,True,1.0040566698306113
48000,fir33-fc18000,edge,A1,0.22022744015427756,0.2888890660031285,0.22019207015652892,True,0.8284283927170027
48000,fir33-fc18000,edge,B1,0.5096169811413441,0.42662467086474454,0.5095778068314369,True,0.7064437720549587
48000,fir33-fc18000,edge,AB,0.22022756665622395,0.2888890660031285,0.22019219644747423,True,0.8284283927170027
48000,fir33-fc18000,overlap-reference,A1,0.0025025781821620776,0.008775112748640927,0.00250224609834213,True,1.000146431758014
48000,fir33-fc18000,overlap-reference,B1,0.002239349439811564,0.011073387400964882,0.0022389941133423522,True,1.001148290704895
48000,fir33-fc18000,overlap-reference,AB,0.002502577278996516,0.008775112748640927,0.002502244891685911,True,1.000146431758014
48000,fir33-fc18000,sustained-edge,A1,0.11666982541626668,0.08631335665025011,0.11665489279435824,True,1.0369299058339274
48000,fir33-fc18000,sustained-edge,B1,0.5096169774454731,0.4266246497282105,0.509577803139816,True,0.7064437898328644
48000,fir33-fc18000,sustained-edge,AB,0.11666983221928758,0.08631335665025011,0.11665489869286286,True,1.0369299058339274
48000,fir33-fc20000,reference,A1,0.07352013241945059,0.08348328190346634,0.07349730733786469,True,0.9778210046849424
48000,fir33-fc20000,reference,B1,0.0017074958568623778,0.007092109894263601,0.0017070317764847158,True,1.0007923524279805
48000,fir33-fc20000,reference,AB,0.07125904327237648,0.08348328190346634,0.07123685337811517,True,0.9778210046849424
48000,fir33-fc20000,edge,A1,0.14801984808755247,0.15899448493131674,0.14797576596616688,True,0.8894710066026098
48000,fir33-fc20000,edge,B1,0.2265272065193198,0.2078288598902072,0.22649569765170616,True,0.9107771999650486
48000,fir33-fc20000,edge,AB,0.14801987429063582,0.15899448493131674,0.14797579190147184,True,0.8894710066026098
48000,fir33-fc20000,overlap-reference,A1,0.0018198605128680633,0.005667387367672202,0.0018194343718143599,True,1.0001607772441106
48000,fir33-fc20000,overlap-reference,B1,0.0017074973748052447,0.007092115924410693,0.0017070332982450393,True,1.000792350789598
48000,fir33-fc20000,overlap-reference,AB,0.001819860060150944,0.005667387367672202,0.00181943348356604,True,1.0001607772441106
48000,fir33-fc20000,sustained-edge,A1,0.07662636087237511,0.04680879768265239,0.07660699669649212,True,1.031716845722471
48000,fir33-fc20000,sustained-edge,B1,0.22652720082236993,0.2078288466967068,0.22649569195781946,True,0.9107772072518735
48000,fir33-fc20000,sustained-edge,AB,0.07662636257347023,0.04680879768265239,0.07660699701751125,True,1.031716845722471
48000,fir65-fc18000,reference,A1,0.10585866657735309,0.13989971995820327,0.10583697099465443,True,1.003390690768255
48000,fir65-fc18000,reference,B1,0.0022937192633826924,0.0109489767943132,0.0022931979801591126,True,1.0015321088538507
48000,fir65-fc18000,reference,AB,0.10260278440372592,0.13989971995820327,0.10258166003015114,True,1.003390690768255
48000,fir65-fc18000,edge,A1,0.22415010838643346,0.27611610314427676,0.2241064378463158,True,0.8297822379409598
48000,fir65-fc18000,edge,B1,0.5402276997985805,0.44086204946526036,0.5401911106955112,True,0.7623061216564689
