rate,conditioner,kernel,profile,source,relative_rms_error,peak_normalized_error,spectral_magnitude_relative_error,finite,reference_convergence,joint_pass
44100,iir-p16000-s18000,lagrange-g64,overlap-reference,B1,5.036990435848625e-09,1.156501265243821e-08,4.338826751949381e-09,True,2.000528729053032e-10,True
44100,iir-p16000-s18000,hann-g64,overlap-reference,B1,1.2258122610303639e-06,1.0763842384280182e-06,1.2251036760421817e-06,True,2.000528729053032e-10,True
44100,iir-p16000-s18000,kaiser-g64,overlap-reference,B1,1.888448588043181e-05,1.602048963870369e-05,1.8879157941754242e-05,True,2.000528729053032e-10,True
44100,iir-p16000-s18000,kaiser-g16,overlap-reference,AB,4.960849063851128e-05,5.4956056356369916e-05,4.780832259554627e-05,True,2.1197678068573537e-10,True
44100,iir-p16000-s18000,hann-g32,overlap-reference,AB,5.43244594996271e-06,6.7061200932185396e-06,5.218000469194771e-06,True,2.1197678068573537e-10,True
44100,iir-p16000-s18000,kaiser-g32,overlap-reference,AB,2.120477399378593e-05,2.5003139664804645e-05,2.05402938980342e-05,True,2.1197678068573537e-10,True
44100,iir-p16000-s18000,lagrange-g64,overlap-reference,AB,8.98070627435237e-09,1.1616794730599419e-08,7.607168429190606e-09,True,2.1197678068573537e-10,True
44100,iir-p16000-s18000,hann-g64,overlap-reference,AB,1.030023430640595e-06,1.2255738313599433e-06,9.817074641308999e-07,True,2.1197678068573537e-10,True
44100,iir-p16000-s18000,kaiser-g64,overlap-reference,AB,1.728589462965046e-05,1.8926241593213596e-05,1.6789340150064793e-05,True,2.1197678068573537e-10,True
44100,iir-p16000-s18000,kaiser-g16,sustained-edge,A1,5.398127654124408e-05,4.806736690325012e-05,5.187479909714582e-05,True,1.0429426260122756e-08,True
44100,iir-p16000-s18000,hann-g32,sustained-edge,A1,2.937768631435166e-05,1.1590973494218677e-05,2.599398193588723e-05,True,1.0429426260122756e-08,True
44100,iir-p16000-s18000,kaiser-g32,sustained-edge,A1,2.8035637128163855e-05,2.5315930496978125e-05,2.7211090745445206e-05,True,1.0429426260122756e-08,True
44100,iir-p16000-s18000,lagrange-g64,sustained-edge,A1,6.020521361629656e-07,4.5611284536484803e-07,5.090968495923474e-07,True,1.0429426260122756e-08,True
44100,iir-p16000-s18000,hann-g64,sustained-edge,A1,3.563396897035974e-06,1.6496910415982268e-06,3.138523064896658e-06,True,1.0429426260122756e-08,True
44100,iir-p16000-s18000,kaiser-g64,sustained-edge,A1,1.4353539108927233e-05,1.207589305342911e-05,1.3935127902463216e-05,True,1.0429426260122756e-08,True
44100,iir-p16000-s18000,kaiser-g16,sustained-edge,B1,7.338804311065842e-05,6.709830509056738e-05,7.18101224674165e-05,True,4.282888520944717e-08,True
44100,iir-p16000-s18000,hann-g32,sustained-edge,B1,9.137962244583581e-05,7.093762383834696e-05,8.973894770778727e-05,True,4.282888520944717e-08,True
44100,iir-p16000-s18000,kaiser-g32,sustained-edge,B1,3.678134692554414e-05,3.300059593218913e-05,3.629637255918656e-05,True,4.282888520944717e-08,True
44100,iir-p16000-s18000,lagrange-g64,sustained-edge,B1,4.273820505316143e-06,5.169493368159503e-06,3.7032196680297564e-06,True,4.282888520944717e-08,True
44100,iir-p16000-s18000,hann-g64,sustained-edge,B1,1.1339044929607531e-05,8.694309065744033e-06,1.113287649915319e-05,True,4.282888520944717e-08,True
44100,iir-p16000-s18000,kaiser-g64,sustained-edge,B1,2.0638244127928598e-05,1.3207829523454544e-05,2.0478981510718498e-05,True,4.282888520944717e-08,True
44100,iir-p16000-s18000,kaiser-g16,sustained-edge,AB,5.398133259560794e-05,4.806736690325012e-05,5.187483855347486e-05,True,1.0429468717130336e-08,True
44100,iir-p16000-s18000,hann-g32,sustained-edge,AB,2.9377784490209576e-05,1.1590973494217117e-05,2.599412236337204e-05,True,1.0429468717130336e-08,True
44100,iir-p16000-s18000,kaiser-g32,sustained-edge,AB,2.8035640043550286e-05,2.5315930496978125e-05,2.7211090956502933e-05,True,1.0429468717130336e-08,True
44100,iir-p16000-s18000,lagrange-g64,sustained-edge,AB,6.020546718909315e-07,4.5611284536484803e-07,5.090985419878086e-07,True,1.0429468717130336e-08,True
44100,iir-p16000-s18000,hann-g64,sustained-edge,AB,3.5633854991134627e-06,1.6496910415979342e-06,3.1385087248195056e-06,True,1.0429468717130336e-08,True
44100,iir-p16000-s18000,kaiser-g64,sustained-edge,AB,1.435353980279538e-05,1.207589305342911e-05,1.3935128268754594e-05,True,1.0429468717130336e-08,True
44100,fir129-p16000-s18000,kaiser-g16,reference,A1,4.413676207277303e-05,4.2109534892359497e-05,4.339929054080455e-05,True,4.573772729681665e-09,True
44100,fir129-p16000-s18000,hann-g32,reference,A1,9.997200342417897e-06,8.962331097279535e-06,9.537070724450077e-06,True,4.573772729681665e-09,True
44100,fir129-p16000-s18000,kaiser-g32,reference,A1,3.1839836254849484e-05,2.4246700921257993e-05,3.175265462795666e-05,True,4.573772729681665e-09,True
44100,fir129-p16000-s18000,lagrange-g64,reference,A1,6.370199898072775e-07,4.4064064163737954e-07,4.70226429657694e-07,True,4.573772729681665e-09,True
