policy,rate,profile,source,relative_rms_error,peak_normalized_error,spectral_magnitude_relative_error,finite,scope
S0,96000,reference,A1,0.5007777020831862,0.8421783071659631,0.14905631635249117,True,physical effect plus numerical residual; not listening score
S1-butter4,48000,edge,A1,1.1772484904184317,1.1736041342352328,0.39597226905993865,True,physical effect plus numerical residual; not listening score
S1-butter4,96000,edge,A1,0.977215992922162,1.1044938548679308,0.2962189257323443,True,physical effect plus numerical residual; not listening score
S1-butter4,44100,edge,B1,1.9318608271327227,2.0224203482129246,0.003408257497755355,True,physical effect plus numerical residual; not listening score
S1-butter4,48000,edge,B1,1.932494896413366,1.9508105673362717,0.0035800808795634115,True,physical effect plus numerical residual; not listening score
S1-butter4,96000,edge,B1,1.9089807779699561,1.8753476572715968,0.0040531339205064085,True,physical effect plus numerical residual; not listening score
S1-butter4,44100,edge,AB,0.8665948080749881,0.8806289770845134,0.28085467866647346,True,physical effect plus numerical residual; not listening score
S1-butter4,48000,edge,AB,1.177248736778998,1.1736041342352328,0.39597624699203643,True,physical effect plus numerical residual; not listening score
S1-butter4,96000,edge,AB,0.9772162301535732,1.1044938548679308,0.296220322498409,True,physical effect plus numerical residual; not listening score
S1-butter4,44100,overlap-reference,A1,0.18909073782613786,0.22736872711748668,0.018195078502708864,True,physical effect plus numerical residual; not listening score
S1-butter4,48000,overlap-reference,A1,0.08203864523330769,0.09997134036447912,0.011041137340283417,True,physical effect plus numerical residual; not listening score
S1-butter4,96000,overlap-reference,A1,0.5717556595850551,0.5392742883397137,0.203631440359677,True,physical effect plus numerical residual; not listening score
S1-butter4,44100,overlap-reference,B1,0.33688235537758243,0.36163151579957653,0.003304725242552323,True,physical effect plus numerical residual; not listening score
S1-butter4,48000,overlap-reference,B1,0.33685398295205354,0.3369830220628332,0.0033116370743009583,True,physical effect plus numerical residual; not listening score
S1-butter4,96000,overlap-reference,B1,0.3367958949343363,0.32871323469602226,0.0033147713651779736,True,physical effect plus numerical residual; not listening score
S1-butter4,44100,overlap-reference,AB,0.1890924821090566,0.22736872711748668,0.018195761097357578,True,physical effect plus numerical residual; not listening score
S1-butter4,48000,overlap-reference,AB,0.0820405865371106,0.09997134036447912,0.01104473467800356,True,physical effect plus numerical residual; not listening score
S1-butter4,96000,overlap-reference,AB,0.5717286367579687,0.5393111244944916,0.20361976213594937,True,physical effect plus numerical residual; not listening score
S1-butter4,44100,sustained-edge,A1,1.25560063050681,1.0543971772658902,0.29300589937275784,True,physical effect plus numerical residual; not listening score
S1-butter4,48000,sustained-edge,A1,0.8909320940043126,0.48053415078076345,0.23796252347053884,True,physical effect plus numerical residual; not listening score
S1-butter4,96000,sustained-edge,A1,1.3293711225030516,1.4242804411534642,0.49132306467306497,True,physical effect plus numerical residual; not listening score
S1-butter4,44100,sustained-edge,B1,1.9318608282752534,2.02242037488891,0.003408257504497468,True,physical effect plus numerical residual; not listening score
S1-butter4,48000,sustained-edge,B1,1.9324948996581168,1.9508105085525935,0.0035800808715749826,True,physical effect plus numerical residual; not listening score
S1-butter4,96000,sustained-edge,B1,1.908980778404553,1.8753476557757467,0.0040531337797354286,True,physical effect plus numerical residual; not listening score
S1-butter4,44100,sustained-edge,AB,1.2556026814443135,1.0543971772658902,0.29300721010200687,True,physical effect plus numerical residual; not listening score
S1-butter4,48000,sustained-edge,AB,0.8909321040913782,0.48053415078076345,0.23796319298638982,True,physical effect plus numerical residual; not listening score
S1-butter4,96000,sustained-edge,AB,1.3293711259108931,1.4242804411534642,0.4913233997734896,True,physical effect plus numerical residual; not listening score
S1-butter6,44100,reference,A1,0.26723477659554074,0.29338147639133594,0.05350105354248105,True,physical effect plus numerical residual; not listening score
S1-butter6,48000,reference,A1,0.908306171897724,0.9818087642400927,0.18173167364720108,True,physical effect plus numerical residual; not listening score
S1-butter6,96000,reference,A1,0.5007777020831862,0.8421783071659631,0.14905631635249117,True,physical effect plus numerical residual; not listening score
S1-butter6,44100,reference,B1,0.33688503227493555,0.3544881643954185,0.003304973304936877,True,physical effect plus numerical residual; not listening score
S1-butter6,48000,reference,B1,0.3368585302865071,0.3528532629082084,0.0033120396527519576,True,physical effect plus numerical residual; not listening score
S1-butter6,96000,reference,B1,0.3367958949123954,0.3287132306556828,0.003314771371051222,True,physical effect plus numerical residual; not listening score
S1-butter6,44100,reference,AB,0.2674381578233141,0.29338147639133594,0.05391196011371036,True,physical effect plus numerical residual; not listening score
S1-butter6,48000,reference,AB,0.8840990929350994,0.9818087642400927,0.17627934434274753,True,physical effect plus numerical residual; not listening score
S1-butter6,96000,reference,AB,0.49791847895127195,0.8421783071659631,0.1483792528339939,True,physical effect plus numerical residual; not listening score
S1-butter6,44100,edge,A1,0.8661573201297904,0.9413649720335022,0.28097974607219944,True,physical effect plus numerical residual; not listening score
S1-butter6,48000,edge,A1,1.1770125344804856,1.2844251787186989,0.3965418604085052,True,physical effect plus numerical residual; not listening score
S1-butter6,96000,edge,A1,0.977215992922162,1.1044938548679308,0.2962189257323443,True,physical effect plus numerical residual; not listening score
S1-butter6,44100,edge,B1,1.931503261894963,1.9852477945941387,0.0033780775001612784,True,physical effect plus numerical residual; not listening score
S1-butter6,48000,edge,B1,1.9323539154902254,2.0146011527709846,0.003327468535594226,True,physical effect plus numerical residual; not listening score
