rate,conditioner,kernel,profile,relative_rms_error,peak_normalized_error,spectral_magnitude_relative_error,finite,reference_convergence,implementation_nrms,implementation_peak_error,native_numerical_pass
44100,fir65-p16000-s20000,kaiser-g16,sustained-edge,5.6140100720450665e-05,4.529152725610852e-05,5.351571135926101e-05,True,1.3748654736056555e-08,1.461304893622207e-08,9.182670090075415e-09,True
44100,fir129-p16000-s20000,kaiser-g16,reference,4.419359161250679e-05,4.235236890877512e-05,4.345326968350288e-05,True,5.749321510237109e-09,3.3848269856315225e-09,8.345127883510967e-09,True
44100,fir129-p16000-s20000,kaiser-g16,edge,5.08673419771684e-05,5.6103654677385296e-05,4.315156528125979e-05,True,4.3304681498806404e-08,2.0444888441312586e-08,3.572925741193421e-08,True
44100,fir129-p16000-s20000,kaiser-g16,overlap-reference,4.968334838924473e-05,5.493068783305066e-05,4.789548461443248e-05,True,3.711269906666377e-10,4.0182793404920945e-10,7.272618558955401e-10,True
44100,fir129-p16000-s20000,kaiser-g16,sustained-edge,5.5830563860445855e-05,4.5661483983622326e-05,5.325775935207294e-05,True,1.3949923297301837e-08,1.4708561037934703e-08,9.358043897952302e-09,True
44100,iir-p16000-s21609,kaiser-g16,reference,7.763669059421925e-05,0.00010522862778745355,7.114817995635656e-05,True,6.518886551322981e-09,3.147308580192665e-09,5.804095391597709e-09,True
44100,iir-p16000-s21609,kaiser-g16,edge,0.0009202302146723492,0.0006788610975437805,0.0007689020716743176,True,4.4475480098467415e-08,2.0340996213389757e-08,2.640842630746281e-08,True
44100,iir-p16000-s21609,kaiser-g16,overlap-reference,5.031000560395816e-05,5.931108569912986e-05,4.840326144742791e-05,True,4.38418864667012e-10,3.949200471399573e-10,6.748618395129317e-10,True
44100,iir-p16000-s21609,kaiser-g16,sustained-edge,0.0004089362070553387,0.0002880251276696958,0.00037029574630826923,True,1.4331956832658401e-08,1.4793125336885399e-08,1.0241025123445144e-08,True
44100,fir33-p16000-s21609,kaiser-g16,reference,0.0001221398254358047,0.00018133550485126477,0.00010964884005569534,True,6.674266525764027e-09,3.3959232790034915e-09,7.906633520821938e-09,True
44100,fir33-p16000-s21609,kaiser-g16,edge,0.001617101995743153,0.0014335131726468191,0.0013593119889409948,True,5.133434943859793e-08,2.0933438224086997e-08,3.952929756446578e-08,True
44100,fir33-p16000-s21609,kaiser-g16,overlap-reference,5.166707932210446e-05,5.857595411321346e-05,4.9514224074055e-05,True,4.6477404365561935e-10,4.0386500881426857e-10,7.550606048726098e-10,True
44100,fir33-p16000-s21609,kaiser-g16,sustained-edge,0.0007155652675309105,0.0004809934397783482,0.0006469040978941086,True,1.530346810965473e-08,1.4829828290444248e-08,9.82318413758563e-09,True
44100,fir65-p16000-s21609,kaiser-g16,reference,4.955372765837892e-05,5.479983152329659e-05,4.783606522227819e-05,True,6.769920705715659e-09,3.4079912107275096e-09,7.988431029403877e-09,True
44100,fir65-p16000-s21609,kaiser-g16,edge,0.00026160095761957393,0.000240714862893902,0.00022014590077485595,True,5.725892544746383e-08,2.1502017854449457e-08,4.0015381942820353e-08,True
44100,fir65-p16000-s21609,kaiser-g16,overlap-reference,4.976315158931172e-05,5.5458781128015254e-05,4.796235113824178e-05,True,4.4925452635285975e-10,4.0606350989471093e-10,7.556673392856541e-10,True
44100,fir65-p16000-s21609,kaiser-g16,sustained-edge,0.00014465524132460314,8.698325870112638e-05,0.00013162475257677333,True,1.5577693438897325e-08,1.5016338958972658e-08,1.0294596795124622e-08,True
44100,fir129-p16000-s21609,kaiser-g16,reference,4.496002337206171e-05,4.375069267534585e-05,4.407492411055243e-05,True,6.809185575178661e-09,3.414101926787149e-09,8.012622765145123e-09,True
44100,fir129-p16000-s21609,kaiser-g16,edge,0.00010940369932248672,7.951023393154607e-05,9.30868554576335e-05,True,5.83351504970386e-08,2.1728152689216227e-08,4.0290309375937834e-08,True
44100,fir129-p16000-s21609,kaiser-g16,overlap-reference,4.9694334484547856e-05,5.55539245596951e-05,4.7904587885987715e-05,True,4.5107820407157297e-10,4.0702635414775487e-10,7.558286593418324e-10,True
44100,fir129-p16000-s21609,kaiser-g16,sustained-edge,7.525664496514771e-05,4.689057079329841e-05,6.991386589384447e-05,True,1.5728754433629805e-08,1.509006777511018e-08,1.0543164799631132e-08,True
44100,iir-p18000-s19000,kaiser-g16,reference,4.41708313625581e-05,3.786416341606163e-05,4.3420944264390686e-05,True,4.9132055369597475e-09,3.2216776910605393e-09,7.1394524720570446e-09,True
44100,iir-p18000-s19000,kaiser-g16,edge,5.1839929244824984e-05,3.656320795035536e-05,4.331989839165163e-05,True,4.0171366505032146e-08,2.1044530291895925e-08,1.8359074624244882e-08,True
44100,iir-p18000-s19000,kaiser-g16,overlap-reference,4.961288477898269e-05,5.497099090089178e-05,4.7813238988961736e-05,True,2.876030441304229e-10,4.034080377410036e-10,5.466562614988733e-10,True
44100,iir-p18000-s19000,kaiser-g16,sustained-edge,5.594755485818174e-05,4.537749700533596e-05,5.337990528782787e-05,True,1.550537279642697e-08,1.492939794395189e-08,7.400967371909724e-09,True
44100,iir-p18000-s20000,kaiser-g16,reference,4.458689096508663e-05,3.81981116842969e-05,4.3759879130573534e-05,True,6.100586274468104e-09,3.40975356920891e-09,8.890012134997239e-09,True
44100,iir-p18000-s20000,kaiser-g16,edge,8.619749331758993e-05,6.108929736432965e-05,7.192732230223296e-05,True,4.417139585831252e-08,2.0956112736490765e-08,2.323526709684865e-08,True
44100,iir-p18000-s20000,kaiser-g16,overlap-reference,4.966112576753505e-05,5.487504159647469e-05,4.7867601978861325e-05,True,3.723698381564066e-10,4.077745901740058e-10,6.424417577953445e-10,True
44100,iir-p18000-s20000,kaiser-g16,sustained-edge,6.69175550105373e-05,5.185581533515265e-05,6.281934649479237e-05,True,1.5312391197040732e-08,1.5329345665195807e-08,9.788997525507085e-09,True
44100,fir129-p18000-s20000,kaiser-g16,reference,4.8356666999914694e-05,5.1027000681938234e-05,4.685778647155708e-05,True,7.049060343284617e-09,3.418473021859616e-09,7.897486931704418e-09,True
44100,fir129-p18000-s20000,kaiser-g16,edge,0.00020517862553064552,0.00015247129965893262,0.00017357405894492063,True,6.087810803112619e-08,2.188846893926607e-08,4.038967113322525e-08,True
44100,fir129-p18000-s20000,kaiser-g16,overlap-reference,4.9744145366107386e-05,5.6535404093036634e-05,4.794664981109708e-05,True,4.782396489533554e-10,4.0815246893315195e-10,7.625534418214168e-10,True
44100,fir129-p18000-s20000,kaiser-g16,sustained-edge,0.00012619722217344683,5.734975721878842e-05,0.00011489833392742194,True,1.6246045252117024e-08,1.5152764689650968e-08,1.0527854273956678e-08,True
44100,iir-p18000-s21609,kaiser-g32,reference,3.530147116782405e-05,3.1432228061175074e-05,3.4491475572790227e-05,True,8.552872700967225e-09,3.269706563253185e-09,7.041214741360948e-09,True
44100,iir-p18000-s21609,kaiser-g32,edge,9.730041868482785e-05,5.339480824381332e-05,8.432465179785802e-05,True,5.396629242701154e-08,2.1874814008718327e-08,2.9984728202498915e-08,True
44100,iir-p18000-s21609,kaiser-g32,overlap-reference,2.1318123083684654e-05,2.5429084064676688e-05,2.0641690113185562e-05,True,6.387417161870572e-10,4.040387787880192e-10,7.754361006562967e-10,True
44100,iir-p18000-s21609,kaiser-g32,sustained-edge,7.662411683914162e-05,3.989491296513253e-05,6.745657772815248e-05,True,1.7845753844860017e-08,1.5442050224615826e-08,1.153386226334539e-08,True
44100,fir65-p18000-s21609,kaiser-g16,reference,0.00029300660487071396,0.00041774872217082424,0.00026054600653364245,True,7.787070741915248e-09,3.4389239269462372e-09,7.406632897349566e-09,True
44100,fir65-p18000-s21609,kaiser-g16,edge,0.0043363549964761175,0.0036741492871442084,0.0036446903082919227,True,5.4374753867349006e-08,2.2308339957014507e-08,4.007512566480478e-08,True
44100,fir65-p18000-s21609,kaiser-g16,overlap-reference,6.144465488631722e-05,8.221718385009666e-05,5.763409929871309e-05,True,6.126897848050388e-10,4.1157753112249996e-10,7.899915685304272e-10,True
44100,fir65-p18000-s21609,kaiser-g16,sustained-edge,0.0018893385601006717,0.0013367583781757112,0.0017173602808696448,True,1.889276424092502e-08,1.531458137557533e-08,1.0475186577611185e-08,True
44100,fir129-p18000-s21609,kaiser-g16,reference,0.00023532942347315492,0.0002944340382048745,0.00021016819946633884,True,7.837470944487882e-09,3.4440748611917156e-09,7.38402653974535e-09,True
44100,fir129-p18000-s21609,kaiser-g16,edge,0.0035912782199018986,0.002902867396355226,0.003016776608591504,True,5.547200238324134e-08,2.2374895575037473e-08,3.984280144739778e-08,True
44100,fir129-p18000-s21609,kaiser-g16,overlap-reference,5.745920149296607e-05,8.226550311919282e-05,5.4303743886531866e-05,True,6.167430606212548e-10,4.1227228273550416e-10,7.900258004378898e-10,True
44100,fir129-p18000-s21609,kaiser-g16,sustained-edge,0.0015499605016122359,0.0010422550886811926,0.0014124913137923626,True,1.8722502540500808e-08,1.534887511382726e-08,1.0251276918589646e-08,True
48000,iir-p16000-s18000,kaiser-g8,reference,5.248224551164721e-05,3.746307425369661e-05,3.384952736666514e-05,True,3.103179762219003e-09,1.0609183248500746e-08,1.0004892155668854e-08,True
48000,iir-p16000-s18000,kaiser-g8,edge,0.00010265225153351923,8.46567119721475e-05,8.316057265196966e-05,True,7.113356717645977e-09,1.9525309733215175e-08,1.9882096249698497e-08,True
48000,iir-p16000-s18000,kaiser-g8,overlap-reference,1.829280847653066e-05,2.4046448068762066e-05,1.0816654933070917e-05,True,1.264138955138701e-10,2.489751066555346e-10,3.905619554525838e-10,True
48000,iir-p16000-s18000,kaiser-g8,sustained-edge,6.444995501023727e-05,3.9962980089920444e-05,5.649844517244098e-05,True,4.023230026417213e-09,9.59869252264419e-09,4.74133293062468e-09,True
48000,fir129-p16000-s18000,kaiser-g8,reference,7.402597456848346e-05,4.914933982073831e-05,5.611751045389943e-05,True,5.7082871070897256e-09,1.0773026987925372e-08,1.0969200927993972e-08,True
48000,fir129-p16000-s18000,kaiser-g8,edge,0.0001971914058275066,0.0001529787538965973,0.00016176572895164093,True,1.1888512168570485e-08,2.012834732471259e-08,2.2592974450253116e-08,True
48000,fir129-p16000-s18000,kaiser-g8,overlap-reference,1.8491376406858075e-05,2.500463038208805e-05,1.0915207156316486e-05,True,1.9273426627738166e-10,2.547016578013246e-10,6.761030203176655e-10,True
48000,fir129-p16000-s18000,kaiser-g8,sustained-edge,0.00012002535997180581,5.603808493852135e-05,0.00010799405923871735,True,4.946030618193742e-09,9.918362842315283e-09,5.051390798028653e-09,True
48000,iir-p16000-s19000,kaiser-g8,reference,7.376090292040664e-05,5.1285392675658355e-05,5.51968144203474e-05,True,4.639181783733668e-09,1.065526584312255e-08,1.1044821086754358e-08,True
48000,iir-p16000-s19000,kaiser-g8,edge,0.00019061130994256603,0.00018728977490392576,0.0001548535257389373,True,1.0074671847664947e-08,1.9583102202269734e-08,2.4071317463098075e-08,True
48000,iir-p16000-s19000,kaiser-g8,overlap-reference,1.840307552697119e-05,2.5447820921777196e-05,1.0900574554128982e-05,True,1.5750545412394475e-10,2.5283137314069575e-10,3.604841856265796e-10,True
48000,iir-p16000-s19000,kaiser-g8,sustained-edge,0.00011771850601655868,5.579498075968863e-05,0.00010640907197130685,True,4.491616368646447e-09,9.936956124895694e-09,5.825439029322105e-09,True
48000,fir129-p16000-s19000,kaiser-g8,reference,0.00016830764027658078,0.00011966572675781219,0.00013979278432111857,True,6.2574328602101195e-09,1.0842267559521546e-08,1.1149791635837025e-08,True
48000,fir129-p16000-s19000,kaiser-g8,edge,0.0004678747212239136,0.00036319636944916016,0.0003884927537073259,True,1.411995186711641e-08,2.033970179813465e-08,2.2834644063923348e-08,True
48000,fir129-p16000-s19000,kaiser-g8,overlap-reference,1.8929354794107316e-05,2.649051425103382e-05,1.1520973007693012e-05,True,2.3157903582987392e-10,2.5807944409824074e-10,6.958221421910409e-10,True
48000,fir129-p16000-s19000,kaiser-g8,sustained-edge,0.0003013828689379507,0.00017151345693212496,0.00027664432536628826,True,5.704288758312605e-09,1.0222371224842573e-08,5.06127928960233e-09,True
48000,iir-p16000-s20000,kaiser-g8,reference,0.00014368192781718806,0.00011868677661145976,0.00011764613702082477,True,5.038869473635937e-09,1.0934336070485928e-08,1.1112880984902968e-08,True
48000,iir-p16000-s20000,kaiser-g8,edge,0.00038990201605076724,0.00039433600997143856,0.0003213964275038193,True,1.1317000431363401e-08,1.991049799665864e-08,2.5007184000984374e-08,True
48000,iir-p16000-s20000,kaiser-g8,overlap-reference,1.8714010344193025e-05,2.6801215135021434e-05,1.1296654924478695e-05,True,2.0886665565016023e-10,2.509223164255106e-10,3.165058776372087e-10,True
