rate,conditioner,kernel,profile,source,relative_rms_error,peak_normalized_error,spectral_magnitude_relative_error,finite,reference_convergence,joint_pass,whole_chain_raw_nrms,whole_chain_raw_peak,raw_reference_convergence
48000,fir65-fc18000,kaiser-g8,reference,AB,0.0003904867012409417,0.00030304515302218514,0.00033076090758036664,True,6.8361561454327695e-09,True,0.10274097682776673,0.11288244265305254,5.174103795946747e-06
48000,fir65-fc18000,kaiser-g8,edge,A1,0.0010134485020287444,0.0009281331132218771,0.0008475238343338474,True,1.6912823685261004e-08,True,0.2244798077970285,0.27848915700689203,1.07124338740753e-05
48000,fir65-fc18000,kaiser-g8,edge,B1,0.006504008232761387,0.0037329528966140654,0.0063904386117032445,True,3.8443318883062716e-08,True,0.5432890839027474,0.3888740994736992,1.7697499091914918e-05
48000,fir65-fc18000,kaiser-g8,edge,AB,0.0010134514091115403,0.0009281331157631464,0.0008474940688744161,True,1.691292630539883e-08,True,0.22447996159147104,0.27848916170642046,1.07197871378137e-05
48000,fir65-fc18000,kaiser-g8,overlap-reference,A1,2.0958063069493403e-05,3.0451608309466235e-05,1.4119072402659063e-05,True,2.7035305819119995e-10,True,0.002565977362099852,0.007412100493172957,1.378628967933255e-07
48000,fir65-fc18000,kaiser-g8,overlap-reference,B1,2.646981439469179e-05,3.259570533876022e-05,1.8484324751359736e-05,True,2.8692916225097154e-10,True,0.0022972751078531826,0.008570728494073417,1.931218293646079e-07
48000,fir65-fc18000,kaiser-g8,overlap-reference,AB,2.0958081445622068e-05,3.0451608679174463e-05,1.4118996509285524e-05,True,2.7034172110446213e-10,True,0.0025659768134506976,0.0074120995103408175,1.3766248447915615e-07
48000,fir65-fc18000,kaiser-g8,sustained-edge,A1,0.000647594849214592,0.0005199419196616974,0.0005966293486480233,True,6.394313982668244e-09,True,0.11884479586768198,0.07257861255833117,4.1217403218039434e-06
48000,fir65-fc18000,kaiser-g8,sustained-edge,B1,0.006504008171903672,0.0037329530228932526,0.006390438551928104,True,3.844331842533918e-08,True,0.5432890797523637,0.3888741028994819,1.769749724566728e-05
48000,fir65-fc18000,kaiser-g8,sustained-edge,AB,0.0006475949604135478,0.000519941918523165,0.0005966359488339984,True,6.3942132218242516e-09,True,0.11884480502774578,0.07257861438604543,4.120635976921166e-06
48000,fir65-fc20000,kaiser-g8,reference,A1,0.0030007945176512263,0.0027622253706609066,0.002563293577192847,True,1.0274359176047313e-08,True,0.07749046020868265,0.06854267292345315,5.298144520316694e-06
48000,fir65-fc20000,kaiser-g8,reference,B1,8.747218380659907e-05,0.00026735221244585247,8.398229629647096e-05,True,5.954687516263626e-10,True,0.001798160969973154,0.005604545591911265,1.9311829882401199e-07
48000,fir65-fc20000,kaiser-g8,reference,AB,0.0029078423229220284,0.002762225388913694,0.0024837375185580634,True,1.0275106442757146e-08,True,0.07510625530352974,0.06854270009871667,5.174103795946747e-06
48000,fir65-fc20000,kaiser-g8,edge,A1,0.006548286633779932,0.0070951862507976715,0.005533892801011434,True,2.6437836044729913e-08,True,0.15595129512469205,0.16176366292099684,1.07124338740753e-05
