source,role,case,mode,finite,partition_exact,difference_from_AB_rms,peak_linear,rms_linear,dc_left,dc_right,peak_dbfs,rms_dbfs,source_window_rms_dbfs,e_to_source_db,spectral_energy_centroid_hz,tail_energy,tail_energy_centroid_seconds,d1_min_path_m,d1_max_path_m,d1_max_speed_mps,d1_correction_rms,d1_drain_samples
-_Sub Bass.wav,user supplied musical sample,A-U0.2-A0.03,a1b1d1,True,True,0.00015900885139626456,0.02928835153579712,0.00045893695084972975,5.063222377343977e-08,5.02141593226385e-08,-30.666101428815224,-66.76493948223252,-65.72042517423985,-44.03659993744763,4428.964673038874,0.0,0.0,0,0.029714866876602172,0.19999999917328509,0.00015900885161496703,4
-_Sub Bass.wav,user supplied musical sample,A-U0.5-A0.005,a1b1d1,True,True,3.846940510262099e-05,0.029163718223571777,0.00045596553846997414,5.062146713660069e-08,5.020340763720917e-08,-30.703142130376364,-66.82135959486439,-65.77684528687172,-44.0930200500795,4350.849113584712,0.0,0.0,0,0.0049619269371032719,0.12259136785944866,3.8469405080140703e-05,4
-_Sub Bass.wav,user supplied musical sample,A-U0.5-A0.015,a1b1d1,True,True,0.00010395744241291245,0.02934126742184162,0.000457619145211868,5.06265203434535e-08,5.020842941989221e-08,-30.650422607111953,-66.78991628893621,-65.74540198094354,-44.061576744151324,4376.300538262263,0.0,0.0,0,0.014885780811309814,0.36777410357834595,0.00010395744244184071,4
-_Sub Bass.wav,user supplied musical sample,A-U0.5-A0.03,a1b1d1,True,True,0.00018029763706710529,0.02836201712489128,0.00045963196314262095,5.067509028928479e-08,5.025703001823115e-08,-30.94525770175609,-66.7517955555588,-65.70728124756613,-44.02345601077391,4448.926209905532,0.0,0.0,0,0.029771561622619628,0.49999998594201561,0.00018029763717739784,4
-_Sub Bass.wav,user supplied musical sample,B-L0.01,a1b1d1,True,True,9.900804172279552e-05,0.02934042364358902,0.0004573137717131049,5.0637717325135786e-08,5.021965164641956e-08,-30.65067239421415,-66.79571439841085,-65.75120009041818,-44.067374853625964,4368.782789949081,0.0,0.0,0,0.014885780811309814,0.19999999679309999,9.9008041495586831e-05,4
-_Sub Bass.wav,user supplied musical sample,B-L0.03,a1b1d1,True,True,9.068888656526705e-05,0.029299547895789146,0.0004572706471375576,5.061864554211203e-08,5.020056320522158e-08,-30.66278161877369,-66.79653351427692,-65.75201920628425,-44.06819396949203,4373.84793326081,0.0,0.0,0,0.014857433438301086,0.13892017795116093,9.0688886686092506e-05,4
-_Sub Bass.wav,user supplied musical sample,B-L0.1,a1b1d1,True,True,8.798793162787391e-05,0.029100438579916954,0.00045708465744276995,5.061664396684586e-08,5.019857518221303e-08,-30.722009312101463,-66.80006712091085,-65.75555281291818,-44.071727576125966,4366.876165209734,0.0,0.0,0,0.014774806201457977,0.041676053588528099,8.7987931602042589e-05,4
ABL2_Loops_42_Partisan_BPM170.wav,user supplied musical sample,AB,a1b1,True,True,0.0,0.026562729850411415,0.0007652892581902078,1.1555937690196024e-07,-7.635880143391451e-07,-31.51454589176708,-62.323487650083074,-60.47302761394435,-31.277379073792318,1660.1959129238815,0.0,0.0,,,,,
ABL2_Loops_42_Partisan_BPM170.wav,user supplied musical sample,AB-D0,a1b1d,True,True,0.0037668470218479486,0.09949915111064911,0.0038443093875700357,1.1798394311629251e-07,-7.627720768285176e-07,-20.043612489514334,-48.303633357075704,-46.453186336486084,-17.25753779633405,7270.401679060667,1.8383323605128198e-05,0.002037629246603215,,,,,
ABL2_Loops_42_Partisan_BPM170.wav,user supplied musical sample,A-U0-A0.005,a1b1d1,True,True,0.0,0.026562729850411415,0.0007652892581902078,1.1555937690196024e-07,-7.635880143391451e-07,-31.51454589176708,-62.323487650083074,-60.47302761394435,-31.277379073792318,1660.1959129238815,0.0,0.0,0,0,0,0,4
ABL2_Loops_42_Partisan_BPM170.wav,user supplied musical sample,A-U0-A0.015,a1b1d1,True,True,0.0,0.026562729850411415,0.0007652892581902078,1.1555937690196024e-07,-7.635880143391451e-07,-31.51454589176708,-62.323487650083074,-60.47302761394435,-31.277379073792318,1660.1959129238815,0.0,0.0,0,0,0,0,4
ABL2_Loops_42_Partisan_BPM170.wav,user supplied musical sample,A-U0-A0.03,a1b1d1,True,True,0.0,0.026562729850411415,0.0007652892581902078,1.1555937690196024e-07,-7.635880143391451e-07,-31.51454589176708,-62.323487650083074,-60.47302761394435,-31.277379073792318,1660.1959129238815,0.0,0.0,0,0,0,0,4
