policy,rate,reference_rate,profile,source,stage,band_0_16000_spectral_nrms,band_0_16000_energy_ratio_db,band_16000_20000_spectral_nrms,band_16000_20000_energy_ratio_db,envelope_nrms,peak_envelope_time_delta_ms,acceptance
S0,44100,96000,reference,A1,raw,6.0526565803648165,15.846431527087452,2.748083861541852,10.91903948603807,6.23053519184426,191,cross-rate listening pending; baseline source variation retained
S1-butter4,48000,96000,edge,A1,D-OFF,0.9946436785677233,3.2826159475244814,2.0452059328789893,8.917685513138625,1.8714519089535449,489,cross-rate listening pending; baseline source variation retained
S1-butter4,48000,96000,edge,A1,D-ON,0.9928286533500071,3.272264296286946,2.055994945067816,8.961239681323558,1.8710149990496405,489,cross-rate listening pending; baseline source variation retained
S1-butter4,44100,96000,edge,B1,raw,0.8178835966828949,5.121917191195684,1.2265949994376453,6.938370514161884,1.1439019492188984,0,cross-rate listening pending; baseline source variation retained
S1-butter4,44100,96000,edge,B1,D-OFF,0.8178482570676199,5.1217595830637785,1.2049434890414765,6.860665448428474,1.0868677687490078,0,cross-rate listening pending; baseline source variation retained
S1-butter4,44100,96000,edge,B1,D-ON,0.8184934590120555,5.1249242450387955,1.2049804024113853,6.860814892576571,1.086298538919425,0,cross-rate listening pending; baseline source variation retained
S1-butter4,48000,96000,edge,B1,raw,0.7586389683403804,4.861440084421163,1.017926083312432,6.093882102176938,0.9865862074040829,0,cross-rate listening pending; baseline source variation retained
S1-butter4,48000,96000,edge,B1,D-OFF,0.757920581248278,4.858094263059353,0.9776334531683925,5.915412389311311,0.8940926983587175,0,cross-rate listening pending; baseline source variation retained
S1-butter4,48000,96000,edge,B1,D-ON,0.7584386017891318,4.86068593260977,0.9776326377660581,5.915313163392102,0.8946122119258074,0,cross-rate listening pending; baseline source variation retained
S1-butter4,44100,96000,edge,AB,raw,1.8128308057642866,6.569889046210041,4.023724839317907,13.69214382700681,2.624354507792665,399,cross-rate listening pending; baseline source variation retained
S1-butter4,44100,96000,edge,AB,D-OFF,1.8128255021291735,6.5698525522210325,3.9584452575076186,13.578093469056785,2.598350783221961,399,cross-rate listening pending; baseline source variation retained
S1-butter4,44100,96000,edge,AB,D-ON,1.8121059392492809,6.562945008023796,3.9731622192351117,13.607706542431558,2.5967834728244283,399,cross-rate listening pending; baseline source variation retained
S1-butter4,48000,96000,edge,AB,raw,0.9949335364139,3.284872543938798,2.0743117340863235,9.021073156180746,1.8918157624191603,489,cross-rate listening pending; baseline source variation retained
S1-butter4,48000,96000,edge,AB,D-OFF,0.9946363139672937,3.2826119044672595,2.04516241351731,8.91769610116381,1.8714517844485423,489,cross-rate listening pending; baseline source variation retained
S1-butter4,48000,96000,edge,AB,D-ON,0.9928294245368555,3.27226193232695,2.055998643077106,8.96124163473418,1.87101487464846,489,cross-rate listening pending; baseline source variation retained
S1-butter4,44100,96000,overlap-reference,A1,raw,11.0793626225529,20.94170198997255,0.7559845817243167,1.7259107248131604,11.075658739076415,239,cross-rate listening pending; baseline source variation retained
S1-butter4,44100,96000,overlap-reference,A1,D-OFF,11.07936261959864,20.941701980434036,0.7456203474036617,1.6332116050452505,11.075661726741592,239,cross-rate listening pending; baseline source variation retained
S1-butter4,44100,96000,overlap-reference,A1,D-ON,11.077967512594729,20.940512318224926,0.7519346027061419,1.6425018722690965,11.074742020442365,239,cross-rate listening pending; baseline source variation retained
S1-butter4,48000,96000,overlap-reference,A1,raw,14.512104993936122,23.273688437606864,0.7619814137888601,1.8390341271436057,14.57481795033397,182,cross-rate listening pending; baseline source variation retained
S1-butter4,48000,96000,overlap-reference,A1,D-OFF,14.512104944422923,23.27368830433622,0.7438337825520009,1.664315979769552,14.57475927006073,182,cross-rate listening pending; baseline source variation retained
S1-butter4,48000,96000,overlap-reference,A1,D-ON,14.512368155075198,23.273771415478638,0.7539112070642865,1.6695687538297055,14.57509559812147,182,cross-rate listening pending; baseline source variation retained
S1-butter4,44100,96000,overlap-reference,B1,raw,1.1604403405507426,6.690842461029586,2.0518189195302714,9.68200071174311,1.1618255656373686,0,cross-rate listening pending; baseline source variation retained
S1-butter4,44100,96000,overlap-reference,B1,D-OFF,1.1604403403181704,6.690842460227851,1.9843704607399881,9.491745109069758,1.1618426389799683,0,cross-rate listening pending; baseline source variation retained
S1-butter4,44100,96000,overlap-reference,B1,D-ON,1.1604721594027747,6.690970389500357,1.984314115126735,9.491538800034297,1.1618000073071528,0,cross-rate listening pending; baseline source variation retained
S1-butter4,48000,96000,overlap-reference,B1,raw,0.9948030603753041,5.997998558737093,1.5655101425963647,8.17717309234063,0.9948134821959365,0,cross-rate listening pending; baseline source variation retained
S1-butter4,48000,96000,overlap-reference,B1,D-OFF,0.9948030557132886,5.997998540948752,1.4636931248710794,7.827322408318508,0.9948483048339465,0,cross-rate listening pending; baseline source variation retained
S1-butter4,48000,96000,overlap-reference,B1,D-ON,0.9949280717564124,5.99854289060227,1.4635013150097653,7.826559543769296,0.9949697842720837,0,cross-rate listening pending; baseline source variation retained
S1-butter4,44100,96000,overlap-reference,AB,raw,11.07856143845089,20.941094121301408,0.7559751168641935,1.725677301144072,11.074826046116524,239,cross-rate listening pending; baseline source variation retained
S1-butter4,44100,96000,overlap-reference,AB,D-OFF,11.07856143549645,20.94109411176249,0.7456161986483095,1.6330062105439478,11.074828905292994,239,cross-rate listening pending; baseline source variation retained
S1-butter4,44100,96000,overlap-reference,AB,D-ON,11.077158552961915,20.939904338987066,0.7519119612927702,1.6422962112280028,11.073907152248498,239,cross-rate listening pending; baseline source variation retained
S1-butter4,48000,96000,overlap-reference,AB,raw,14.511041460362739,23.273068161271677,0.7619842178097337,1.8390389768954085,14.57372297569133,182,cross-rate listening pending; baseline source variation retained
S1-butter4,48000,96000,overlap-reference,AB,D-OFF,14.51104141085273,23.27306802800141,0.7438367646029828,1.664321987149611,14.573664281042863,182,cross-rate listening pending; baseline source variation retained
S1-butter4,48000,96000,overlap-reference,AB,D-ON,14.511295593519373,23.273151020210214,0.7539271732016217,1.6695665632456151,14.573999883135144,182,cross-rate listening pending; baseline source variation retained
S1-butter4,44100,96000,sustained-edge,A1,raw,1.2503434153220636,3.466758895855888,0.6892390782344097,1.0568076529641495,1.608602798868341,238,cross-rate listening pending; baseline source variation retained
S1-butter4,44100,96000,sustained-edge,A1,D-OFF,1.2503412036599313,3.466729934504837,0.6833987456520878,0.9870956467304788,1.6039724625865275,238,cross-rate listening pending; baseline source variation retained
S1-butter4,44100,96000,sustained-edge,A1,D-ON,1.2487612001077384,3.466275415316362,0.6934952517221116,0.9821286424165804,1.601477037240127,238,cross-rate listening pending; baseline source variation retained
S1-butter4,48000,96000,sustained-edge,A1,raw,1.5583797861889668,5.0227701650903676,0.6586485165068745,0.5604879773980675,1.9378456993334285,182,cross-rate listening pending; baseline source variation retained
S1-butter4,48000,96000,sustained-edge,A1,D-OFF,1.5583496236021865,5.022366800770532,0.6542636395549677,0.4420627685081053,1.9322098386219981,182,cross-rate listening pending; baseline source variation retained
S1-butter4,48000,96000,sustained-edge,A1,D-ON,1.5591991607989735,5.019935391935526,0.6598659084654095,0.44378983181600284,1.9322902757844904,182,cross-rate listening pending; baseline source variation retained
S1-butter4,44100,96000,sustained-edge,B1,raw,0.8178836667369361,5.121917513747346,1.2265950382671118,6.9383706691960185,1.1439019930996859,0,cross-rate listening pending; baseline source variation retained
S1-butter4,44100,96000,sustained-edge,B1,D-OFF,0.8178483271196764,5.121759905612784,1.2049435286841859,6.8606656068556005,1.0868678147114736,0,cross-rate listening pending; baseline source variation retained
S1-butter4,44100,96000,sustained-edge,B1,D-ON,0.8184935291675188,5.124924567985457,1.204980442023018,6.86081505086531,1.0862985849163618,0,cross-rate listening pending; baseline source variation retained
S1-butter4,48000,96000,sustained-edge,B1,raw,0.7586390488781968,4.861440434214387,1.017926078822519,6.093882084119539,0.9865862158116327,0,cross-rate listening pending; baseline source variation retained
