rate,kernel,frequency_hz,relative_rms_error,peak_normalized_error,spectral_magnitude_relative_error,finite,core_pass
48000,lagrange-g64,8000.0,1.47403440384813e-12,6.164930158226702e-12,1.045127060409539e-12,True,True
48000,lagrange-g64,12000.0,2.1852625571693026e-12,9.3947627499478e-12,1.5443588677928877e-12,True,True
48000,lagrange-g64,16000.0,7.709077597090467e-10,1.2065349833930496e-09,5.839342333594052e-10,True,True
48000,lagrange-g64,18000.0,4.148789195642921e-06,6.476599969873581e-06,2.968912907409156e-06,True,True
48000,lagrange-g64,20000.0,0.0018231772046842368,0.002845557636880172,0.0015326227691381234,True,True
48000,hann-g64,1000.0,5.914725380374537e-07,1.1267418336984085e-06,5.669480845114151e-07,True,True
48000,hann-g64,2000.0,5.955640177665268e-07,1.1266253021913793e-06,5.667558817984081e-07,True,True
48000,hann-g64,4000.0,6.330510498440782e-07,1.1590858206146885e-06,5.992773379540399e-07,True,True
48000,hann-g64,8000.0,7.811405815764214e-07,1.4459869189610927e-06,7.061897737496114e-07,True,True
48000,hann-g64,12000.0,1.6943418575428614e-06,2.0249928891023292e-06,1.264651784232502e-06,True,True
48000,hann-g64,16000.0,3.924036748845191e-06,5.566412066941106e-06,3.4720937340847386e-06,True,True
48000,hann-g64,18000.0,1.5533922717766836e-05,2.2314203337529882e-05,1.2185166748536153e-05,True,True
48000,hann-g64,20000.0,2.2876850954620546e-05,3.477455579816629e-05,2.065905963901198e-05,True,True
48000,kaiser-g64,1000.0,1.1156567696192165e-05,1.7302114987858544e-05,1.0866694349852697e-05,True,True
48000,kaiser-g64,2000.0,1.0892236243848504e-05,1.672190058671839e-05,1.0545396765897638e-05,True,True
48000,kaiser-g64,4000.0,1.155941404689498e-05,1.7444439750930878e-05,1.119124159760086e-05,True,True
48000,kaiser-g64,8000.0,1.0576174500390168e-05,1.6258424723923833e-05,1.0025272590515997e-05,True,True
48000,kaiser-g64,12000.0,3.936080513634123e-06,4.650896017721862e-06,2.6932901103378683e-06,True,True
48000,kaiser-g64,16000.0,1.885197571426605e-05,2.640401975848971e-05,1.7379262229812037e-05,True,True
48000,kaiser-g64,18000.0,9.646425490792973e-06,1.2260298032570726e-05,7.1374707430723715e-06,True,True
48000,kaiser-g64,20000.0,9.593719754529565e-06,1.1533236416608471e-05,8.273758702663966e-06,True,True
96000,lagrange-g0,1000.0,3.873978959587815e-07,7.641049077118816e-07,3.740245259132443e-07,True,True
96000,lagrange-g0,2000.0,6.1903316881887134e-06,1.2204297687937567e-05,5.932289480240981e-06,True,True
96000,lagrange-g0,4000.0,9.859962734943662e-05,0.00019388740061851854,9.091751945920723e-05,True,True
96000,lagrange-g0,8000.0,0.0015490774379943893,0.003015345423715652,0.0013334065240493177,True,True
96000,lagrange-g0,12000.0,0.007606820978831689,0.014560321377009987,0.005157560638416475,True,False
96000,lagrange-g0,16000.0,0.02303531266644507,0.04361579330595962,0.017039431001194042,True,False
96000,lagrange-g0,18000.0,0.03595199358214635,0.06961747572162988,0.02651345672009808,True,False
96000,lagrange-g0,20000.0,0.05322884607340117,0.10251213385739677,0.03816401662844896,True,False
96000,lagrange-g8,1000.0,1.8621792866073723e-13,7.99083022007208e-13,1.3304552747896312e-13,True,True
96000,lagrange-g8,2000.0,3.725784013633394e-13,1.592885546200414e-12,2.656060838609302e-13,True,True
96000,lagrange-g8,4000.0,7.463341367636412e-13,3.1441932408208713e-12,5.283416356036423e-13,True,True
96000,lagrange-g8,8000.0,1.6743312263488462e-11,2.7302077348071927e-11,5.363265602474105e-12,True,True
96000,lagrange-g8,12000.0,1.3384369775403402e-08,1.7065847520957813e-08,5.899002651709402e-09,True,True
96000,lagrange-g8,16000.0,1.3344758963910814e-06,1.7006524193505744e-06,6.877398082998152e-07,True,True
96000,lagrange-g8,18000.0,8.291390480254988e-06,1.0564927402836366e-05,4.656586305546178e-06,True,True
96000,lagrange-g8,20000.0,4.0837667992314175e-05,5.202552195174603e-05,2.4607871593494173e-05,True,True
96000,hann-g8,1000.0,3.709400402538095e-05,5.224019080547261e-05,3.50506778944764e-05,True,True
96000,hann-g8,2000.0,0.00013908197383165905,0.0001954205356977985,0.00013175896262395138,True,True
96000,hann-g8,4000.0,0.0004237240780255876,0.0005904355189290743,0.0004026099875224198,True,True
96000,hann-g8,8000.0,0.0004101215324171828,0.0005576224591354441,0.0003924053757405749,True,True
96000,hann-g8,12000.0,0.00017586807194962237,0.00019551230154562864,0.00014548634820602752,True,True
96000,hann-g8,16000.0,0.0006130977326742557,0.0008449816041250597,0.0005672796390425651,True,True
96000,hann-g8,18000.0,0.0009181633550543953,0.0012261844229047804,0.000860509912042951,True,True
96000,hann-g8,20000.0,0.0005293611965327984,0.000728964010034001,0.00047733351039083716,True,True
96000,kaiser-g8,1000.0,1.8208747051254945e-05,2.597857658326175e-05,1.061384574799702e-05,True,True
96000,kaiser-g8,2000.0,3.223544594362827e-05,4.568024142410726e-05,2.0340848715624847e-05,True,True
96000,kaiser-g8,4000.0,3.738876564458241e-05,5.2569509119013235e-05,2.977954827228863e-05,True,True
96000,kaiser-g8,8000.0,3.821934556859274e-05,5.371107626751336e-05,2.825298303221091e-05,True,True
96000,kaiser-g8,12000.0,2.3214098244714747e-05,2.577372760095099e-05,1.940098128234537e-05,True,True
96000,kaiser-g8,16000.0,3.1150073274359255e-05,4.342285778961863e-05,2.858830153270627e-05,True,True
96000,kaiser-g8,18000.0,4.5074634329629556e-05,5.220844981143493e-05,3.5946835321349374e-05,True,True
96000,kaiser-g8,20000.0,5.595159849162102e-05,6.140109579970133e-05,3.6820925488402274e-05,True,True
96000,lagrange-g16,1000.0,1.86793642450393e-13,8.132661211473846e-13,1.3352370968310026e-13,True,True
96000,lagrange-g16,2000.0,3.737518120294219e-13,1.6192949764071965e-12,2.665377177699596e-13,True,True
96000,lagrange-g16,4000.0,7.485803875239964e-13,3.183633913792243e-12,5.298091436011635e-13,True,True
96000,lagrange-g16,8000.0,1.5047154744708075e-12,6.437225771876953e-12,1.0514638693613869e-12,True,True
96000,lagrange-g16,12000.0,2.224894689002049e-12,9.925477111543843e-12,1.5687654976738775e-12,True,True
96000,lagrange-g16,16000.0,1.4910173861095337e-11,2.918232323057183e-11,7.937661209413455e-12,True,True
96000,lagrange-g16,18000.0,4.912066987988172e-10,6.348702675100568e-10,2.81051718469561e-10,True,True
96000,lagrange-g16,20000.0,1.047932838705439e-08,1.337376199987081e-08,6.404879328778898e-09,True,True
96000,hann-g16,1000.0,1.7102111179973014e-05,2.408243225704724e-05,1.616070043520464e-05,True,True
96000,hann-g16,2000.0,5.150717891269603e-05,7.237088873125343e-05,4.8796933953476377e-05,True,True
