rate,reference_rate,conditioner,reference_conditioner,frequency_hz,magnitude_difference_db,phase_difference_rad,engineering_latency_removed,acceptance
44100,96000,fir33-p16000-s19000,fir33-p16000-s19000,2000.0,-0.004395806110465767,2.1536644528854374e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir33-p16000-s19000,fir33-p16000-s19000,4000.0,-0.004149731908433264,2.7939768114200103e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir33-p16000-s19000,fir33-p16000-s19000,8000.0,-0.0019386096289863194,-6.402140865424665e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir33-p16000-s19000,fir33-p16000-s19000,12000.0,0.002258447070769501,2.3081205562134863e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir33-p16000-s19000,fir33-p16000-s19000,16000.0,1.9541420685786575,-4.523365983158226e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir33-p16000-s19000,fir33-p16000-s19000,18000.0,-2.27638787682733,2.927003982881408e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir33-p16000-s19000,fir33-p16000-s19000,20000.0,-42.37255737008741,-2.4560225691782207e-15,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir65-p16000-s19000,fir65-p16000-s19000,1000.0,-0.0012175025448063275,3.6518362988094037e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir65-p16000-s19000,fir65-p16000-s19000,2000.0,0.0002834269268921117,5.649916054392605e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir65-p16000-s19000,fir65-p16000-s19000,4000.0,-0.0027466637591189564,5.98258421001953e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir65-p16000-s19000,fir65-p16000-s19000,8000.0,-0.0002916355039349148,-1.1272859480051774e-15,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir65-p16000-s19000,fir65-p16000-s19000,12000.0,-0.0048208068035676165,9.117378514066197e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir65-p16000-s19000,fir65-p16000-s19000,16000.0,0.8184782665533528,-9.776917112873739e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir65-p16000-s19000,fir65-p16000-s19000,18000.0,-5.856699176000105,4.490677196903783e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir65-p16000-s19000,fir65-p16000-s19000,20000.0,-21.864711610824664,3.1415926535897185,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir129-p16000-s19000,fir129-p16000-s19000,1000.0,-0.0009405271898521468,7.33854633077353e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir129-p16000-s19000,fir129-p16000-s19000,2000.0,0.0002020511651180286,1.3077314860563309e-15,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir129-p16000-s19000,fir129-p16000-s19000,4000.0,0.0003462572485374283,1.0452863654451e-15,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir129-p16000-s19000,fir129-p16000-s19000,8000.0,-0.0008101306623704514,-1.0544819932640431e-15,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir129-p16000-s19000,fir129-p16000-s19000,12000.0,-0.003480416140015452,2.2483514465285798e-15,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir129-p16000-s19000,fir129-p16000-s19000,16000.0,-0.013113516166384214,-2.168046189326287e-15,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir129-p16000-s19000,fir129-p16000-s19000,18000.0,-20.359226031741148,6.08139932422313e-15,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir129-p16000-s19000,fir129-p16000-s19000,20000.0,-2.905445960587409,1.277707658464794e-13,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,iir-p16000-s20000,iir-p16000-s20000,1000.0,-2.892982399659862e-15,0.9209827333856756,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,iir-p16000-s20000,iir-p16000-s20000,2000.0,9.643274665532866e-15,1.844827241608034,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,iir-p16000-s20000,iir-p16000-s20000,4000.0,5.785964799319721e-15,-2.5703782220448135,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,iir-p16000-s20000,iir-p16000-s20000,8000.0,-3.2682504333305607e-10,1.3364274258680944,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,iir-p16000-s20000,iir-p16000-s20000,12000.0,-3.756484237986541e-06,-0.5973504309140033,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,iir-p16000-s20000,iir-p16000-s20000,16000.0,5.785964799319721e-15,-1.5944563264841156,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,iir-p16000-s20000,iir-p16000-s20000,18000.0,8.775692377106449,1.0557334474571411,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,iir-p16000-s20000,iir-p16000-s20000,20000.0,-2.607564440298678,2.0776813213154726,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir17-p16000-s20000,fir17-p16000-s20000,1000.0,-0.0006049195023319653,3.4301792993172584e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir17-p16000-s20000,fir17-p16000-s20000,2000.0,-0.002289942515582069,1.0901632793204997e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir17-p16000-s20000,fir17-p16000-s20000,4000.0,-0.010526570340210416,3.2616583920261416e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir17-p16000-s20000,fir17-p16000-s20000,8000.0,0.045631549089552095,-9.556570622478986e-17,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir17-p16000-s20000,fir17-p16000-s20000,12000.0,0.8135723697648433,2.011548101183821e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir17-p16000-s20000,fir17-p16000-s20000,16000.0,1.8925155960748778,-2.2793100797671747e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir17-p16000-s20000,fir17-p16000-s20000,18000.0,0.0032335107676406765,4.582882330801712e-17,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir17-p16000-s20000,fir17-p16000-s20000,20000.0,-5.906848602795028,-2.3045308238131504e-17,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir33-p16000-s20000,fir33-p16000-s20000,1000.0,-0.00285262131527874,-6.075535651571033e-17,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir33-p16000-s20000,fir33-p16000-s20000,2000.0,-0.005732897676207754,7.14640441281484e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir33-p16000-s20000,fir33-p16000-s20000,4000.0,-0.003807228031632705,3.7841235090631893e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir33-p16000-s20000,fir33-p16000-s20000,8000.0,-0.005962130951166527,-3.99365011093653e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir33-p16000-s20000,fir33-p16000-s20000,12000.0,-0.01300350337663143,6.083087936410831e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir33-p16000-s20000,fir33-p16000-s20000,16000.0,1.6717148658866066,1.3846348427412542e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir33-p16000-s20000,fir33-p16000-s20000,18000.0,-0.0003484848711334446,-1.9919767424218554e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir33-p16000-s20000,fir33-p16000-s20000,20000.0,-20.1356523467337,8.252323137317663e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir65-p16000-s20000,fir65-p16000-s20000,1000.0,-0.003602966098408549,3.558894799584641e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir65-p16000-s20000,fir65-p16000-s20000,2000.0,-0.0032781915981654522,9.145386076024509e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir65-p16000-s20000,fir65-p16000-s20000,4000.0,-0.004042503562801255,5.962523373249774e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir65-p16000-s20000,fir65-p16000-s20000,8000.0,-0.002073591297336652,-5.545306206611466e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir65-p16000-s20000,fir65-p16000-s20000,12000.0,-0.0010188121912343188,1.0027919725924976e-15,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir65-p16000-s20000,fir65-p16000-s20000,16000.0,0.26098493257948524,-1.0669762708473225e-15,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir65-p16000-s20000,fir65-p16000-s20000,18000.0,0.00023623110522780967,2.4837388263254325e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir65-p16000-s20000,fir65-p16000-s20000,20000.0,-39.08335905861759,-5.466949395605312e-14,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir129-p16000-s20000,fir129-p16000-s20000,1000.0,-0.002563240936290753,4.097540899561151e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir129-p16000-s20000,fir129-p16000-s20000,2000.0,-0.002009934548713134,1.970715553908603e-15,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir129-p16000-s20000,fir129-p16000-s20000,4000.0,-0.0018792876192544393,1.1829470422437679e-15,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir129-p16000-s20000,fir129-p16000-s20000,8000.0,-0.002705625542979195,-1.3860426587148904e-15,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir129-p16000-s20000,fir129-p16000-s20000,12000.0,0.00016797019628062774,1.8149148481591845e-15,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir129-p16000-s20000,fir129-p16000-s20000,16000.0,0.004537490357081432,-2.3473695774222674e-15,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir129-p16000-s20000,fir129-p16000-s20000,18000.0,-0.0007249814280888826,1.4222045970101786e-15,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir129-p16000-s20000,fir129-p16000-s20000,20000.0,-17.473748750971886,3.227684544853722e-13,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,iir-p16000-s21609,iir-p16000-s24000,1000.0,-1.3886315518367446e-13,0.46091357730352134,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,iir-p16000-s21609,iir-p16000-s24000,2000.0,-3.624424783048092e-11,0.9232540405429132,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,iir-p16000-s21609,iir-p16000-s24000,4000.0,-1.0958114922213856e-08,1.8580505520870583,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,iir-p16000-s21609,iir-p16000-s24000,8000.0,-5.749907158083561e-06,-2.4704358814873695,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,iir-p16000-s21609,iir-p16000-s24000,12000.0,-0.0006139572277241731,-0.296167080159388,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,iir-p16000-s21609,iir-p16000-s24000,16000.0,-1.0607602132086164e-14,2.3178137228047313,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,iir-p16000-s21609,iir-p16000-s24000,18000.0,2.9516764008429943,-2.4066992042275612,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,iir-p16000-s21609,iir-p16000-s24000,20000.0,-0.06804938352032439,-1.978628065577098,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir17-p16000-s21609,fir17-p16000-s24000,1000.0,0.0006379804562112564,-1.387156938641835e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir17-p16000-s21609,fir17-p16000-s24000,2000.0,0.002971249365130755,2.536720554712942e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir17-p16000-s21609,fir17-p16000-s24000,4000.0,0.009206839562286843,4.6887010568681006e-17,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir17-p16000-s21609,fir17-p16000-s24000,8000.0,-0.0025873052552098253,2.003531208229773e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir17-p16000-s21609,fir17-p16000-s24000,12000.0,0.27171041140923036,2.755147722854518e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir17-p16000-s21609,fir17-p16000-s24000,16000.0,1.0656671860852724,-3.8083789668136904e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir17-p16000-s21609,fir17-p16000-s24000,18000.0,-0.2513143877288592,4.0519002453092943e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir17-p16000-s21609,fir17-p16000-s24000,20000.0,-4.851580905007654,3.2488609238642474e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir33-p16000-s21609,fir33-p16000-s24000,1000.0,0.0034763091380578654,1.9705336502735748e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir33-p16000-s21609,fir33-p16000-s24000,2000.0,0.002613196233932181,6.577169105108634e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir33-p16000-s21609,fir33-p16000-s24000,4000.0,0.003326940270084705,2.985797219283553e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir33-p16000-s21609,fir33-p16000-s24000,8000.0,0.0005517083034871054,-4.431581733521004e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir33-p16000-s21609,fir33-p16000-s24000,12000.0,0.00842119764766789,4.614952905032726e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir33-p16000-s21609,fir33-p16000-s24000,16000.0,0.28067944255113464,-5.373961271287655e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir33-p16000-s21609,fir33-p16000-s24000,18000.0,-0.35131151720420994,4.986891494074275e-17,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir33-p16000-s21609,fir33-p16000-s24000,20000.0,-12.099015982273178,-2.147832326893349e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir65-p16000-s21609,fir65-p16000-s24000,1000.0,0.001614403858297172,2.905082661428256e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir65-p16000-s21609,fir65-p16000-s24000,2000.0,0.0025070097198275415,9.31288353602391e-16,True,diagnostic; no cross-rate product/filter acceptance
