rate,conditioner,kernel,profile,relative_rms_error,peak_normalized_error,spectral_magnitude_relative_error,finite,reference_convergence,implementation_nrms,implementation_peak_error,native_numerical_pass
48000,fir65-fc20000,kaiser-g16,edge,6.004506208426407e-05,4.7593020805686624e-05,5.028947142765554e-05,True,2.6437997162769273e-08,2.0606591978163388e-08,2.990395972026676e-08,True
48000,fir65-fc20000,kaiser-g16,overlap-reference,5.175031766655523e-05,5.057378229728231e-05,5.1344065921260416e-05,True,4.309136786736412e-10,2.680431811103752e-10,7.996926560267283e-10,True
48000,fir65-fc20000,kaiser-g16,sustained-edge,4.20988303159835e-05,3.953898836637872e-05,3.8986716179123644e-05,True,9.024202149422409e-09,1.0887203668881894e-08,6.653253910376256e-09,True
96000,butter4-fc20000,kaiser-g8,reference,3.522626602396806e-05,3.7333864910931175e-05,1.6061765317180266e-05,True,7.991390698641983e-11,1.6942281177430046e-09,2.7660066904000175e-09,True
96000,butter4-fc20000,kaiser-g8,edge,5.771986813538517e-05,4.803020181752007e-05,3.691411611082683e-05,True,1.1825728563310762e-10,4.9420032838295305e-09,6.515218603494215e-09,True
96000,butter4-fc20000,kaiser-g8,overlap-reference,3.411746244120006e-05,4.051157029627542e-05,2.844227450496205e-05,True,3.254734959116516e-11,8.517905662661864e-10,1.2555980816407421e-09,True
96000,butter4-fc20000,kaiser-g8,sustained-edge,3.417602614695507e-05,2.9316169480901147e-05,2.79355001302612e-05,True,1.4605251951441813e-10,4.1520745939679975e-09,5.655647879053139e-09,True
96000,raw-control,kaiser-g64,reference,0.0021180439984759113,0.0009499766537024334,0.0013019041684786453,True,1.2563810331243729e-06,2.363527918155588e-09,5.1151133304050256e-09,True
96000,raw-control,kaiser-g64,edge,0.005208393920345921,0.001210449924287216,0.003192861791649129,True,2.9723928031687844e-06,5.4724297749404176e-09,7.671419875207307e-09,True
96000,raw-control,kaiser-g64,overlap-reference,0.0009497872659155137,0.0004645845796158764,0.0007294761224281289,True,2.2970678521835418e-07,9.973104686338076e-10,2.611240036809034e-09,True
96000,raw-control,kaiser-g64,sustained-edge,0.004384135883694287,0.0018014298772756096,0.003383877201615429,True,8.665592016073368e-07,4.975914256779495e-09,8.493926557268284e-09,True
