rate,delay_ms,mechanism,physical_range,magnitude_min_db,magnitude_max_db,ripple_db,valid_group_min_ms,valid_group_max_ms,reference_convergence
44100,0.1,M0,False,0.0,0.0,0.0,-0.0,-0.0,3.7304133955730744e-07
44100,0.1,M1,False,-1.9286549331065743e-15,1.928654933106574e-15,3.857309866213148e-15,0.09999999999999996,0.10000000000000005,3.7304133955730744e-07
44100,0.1,M2,False,-10.530724978871746,0.0,10.530724978871746,0.06300359240217669,0.10000000000000002,3.7304133955730744e-07
44100,0.1,M3,False,-300.0,6.020599913279624,306.0205999132796,0.04999999999954867,0.050000000000481784,3.7304133955730744e-07
44100,0.1,M4,False,-45.070280635602614,6.020599913279624,51.09088054888224,-17.80221423511126,0.05,3.7304133955730744e-07
44100,0.1,D0-frozen-mechanism,False,-300.0,-13.979400086720375,286.0205999132796,0.049999999999556476,0.05000000000049056,3.7304133955730744e-07
44100,0.25,M0,False,0.0,0.0,0.0,-0.0,-0.0,3.049393274683254e-08
44100,0.25,M1,False,-1.9286549331065743e-15,1.928654933106574e-15,3.857309866213148e-15,0.24999999999999994,0.2500000000000001,3.049393274683254e-08
44100,0.25,M2,False,-0.29207221953905765,1.928654933106574e-15,0.2920722195390596,0.2485245333334756,0.25,3.049393274683254e-08
44100,0.25,M3,False,-300.0,6.020599913279624,306.0205999132796,0.1249999999991108,0.12500000000086378,3.049393274683254e-08
44100,0.25,M4,False,-97.41871471574365,6.020599913279624,103.43931462902327,-18463.797253573113,0.125,3.049393274683254e-08
44100,0.25,D0-frozen-mechanism,False,-300.0,-13.979400086720375,286.0205999132796,0.12499999999910301,0.12500000000088146,3.049393274683254e-08
44100,0.5,M0,False,0.0,0.0,0.0,-0.0,-0.0,6.082056040104906e-08
44100,0.5,M1,False,-1.9286549331065743e-15,1.928654933106574e-15,3.857309866213148e-15,0.4999999999999999,0.5000000000000002,6.082056040104906e-08
44100,0.5,M2,False,-0.614518456171914,-9.643274665532871e-16,0.614518456171913,0.4969885309579445,0.5000000000000001,6.082056040104906e-08
44100,0.5,M3,False,-300.0,6.020599913279624,306.0205999132796,0.24999999999955647,0.25000000000044476,6.082056040104906e-08
44100,0.5,M4,False,-115.56174190617162,6.020599913279624,121.58234181945124,-299560.7956395695,0.25,6.082056040104906e-08
44100,0.5,D0-frozen-mechanism,False,-300.0,-13.979400086720375,286.0205999132796,0.24999999999955266,0.25000000000044464,6.082056040104906e-08
44100,1.0,M0,False,0.0,0.0,0.0,-0.0,-0.0,1.202273665753141e-07
44100,1.0,M1,False,-1.9286549331065743e-15,1.928654933106574e-15,3.857309866213148e-15,0.9999999999999998,1.0000000000000004,1.202273665753141e-07
44100,1.0,M2,False,-1.357945377106922,1.928654933106574e-15,1.357945377106924,0.9936908940612296,1.0,1.202273665753141e-07
44100,1.0,M3,False,-300.0,6.020599913279624,306.0205999132796,0.4999999999998506,0.5000000000001444,1.202273665753141e-07
44100,1.0,M4,False,-133.90331362815886,6.020599913279624,139.92391354143848,-4955103.684176329,0.5000000000000001,1.202273665753141e-07
44100,1.0,D0-frozen-mechanism,False,-300.0,-13.979400086720375,286.0205999132796,0.4999999999997773,0.5000000000002228,1.202273665753141e-07
44100,2.0,M0,False,0.0,0.0,0.0,-0.0,-0.0,2.2908430527046067e-07
44100,2.0,M1,False,-1.9286549331065743e-15,1.928654933106574e-15,3.857309866213148e-15,1.9999999999999996,2.000000000000001,2.2908430527046067e-07
44100,2.0,M2,False,-3.3131714440696203,0.0,3.3131714440696203,1.9857740544118727,2.0000000000000004,2.2908430527046067e-07
44100,2.0,M3,False,-300.0,6.020599913279624,306.0205999132796,0.9999999999998901,1.0000000000001108,2.2908430527046067e-07
44100,2.0,M4,False,-152.69917869887894,6.020599913279624,158.71977861215856,-86292500.13266818,1.0000000000000002,2.2908430527046067e-07
44100,2.0,D0-frozen-mechanism,False,-300.0,-13.979400086720375,286.0205999132796,0.9999999999998919,1.0000000000001108,2.2908430527046067e-07
44100,5.0,M0,False,0.0,0.0,0.0,-0.0,-0.0,3.9173130125150143e-07
44100,5.0,M1,False,-1.9286549331065743e-15,1.928654933106574e-15,3.857309866213148e-15,4.999999999999998,5.000000000000001,3.9173130125150143e-07
44100,5.0,M2,False,-13.281295691890541,0.0,13.281295691890541,4.999999999999997,5.0000000000000036,3.9173130125150143e-07
44100,5.0,M3,False,-300.0,6.020599913279624,306.0205999132796,2.499999999999957,2.5000000000000453,3.9173130125150143e-07
44100,5.0,M4,False,-180.30261847298704,6.020599913279624,186.32321838626666,-63925579.075651616,2.5,3.9173130125150143e-07
44100,5.0,D0-frozen-mechanism,False,-300.0,-13.979400086720375,286.0205999132796,2.4999999999999556,2.500000000000043,3.9173130125150143e-07
48000,0.0033692722371967652,M0,True,0.0,0.0,0.0,-0.0,-0.0,9.297059134677217e-08
48000,0.0033692722371967652,M1,True,-1.9286549331065743e-15,1.928654933106574e-15,3.857309866213148e-15,0.003369272237196764,0.003369272237196766,9.297059134677217e-08
48000,0.0033692722371967652,M2,True,-6.070571363416439,0.1414121939214494,6.211983557337889,0.0033692722371967652,0.013223093157265865,9.297059134677217e-08
48000,0.0033692722371967652,M3,True,5.82449562480962,6.020599913279624,0.19610428847000438,0.0016846361185983822,0.0016846361185983828,9.297059134677217e-08
48000,0.0033692722371967652,M4,True,2.5088298275446794,6.040167362943273,3.5313375353985936,-0.004987818696210554,0.0048366649981036545,9.297059134677217e-08
