rate,kernel,frequency_hz,magnitude_error_db,phase_error_rad,group_delay_error_ns,complex_error
44100,kaiser-g16,12000.0,0.0007355007891000056,2.2170600191958053e-05,9.680059347231406,8.468169060765265e-05
44100,kaiser-g16,16000.0,0.00019221050883553307,7.438956819666306e-06,27.06820092798874,2.2129354091453334e-05
44100,kaiser-g16,18000.0,0.0005536441521785851,3.5062379220117023e-06,59.10304892004817,6.374267158089081e-05
44100,kaiser-g16,20000.0,0.8007139288603986,0.046093090747566685,15071.362692196644,0.08806651370487316
44100,lagrange-g32,1000.0,6.7502922658730125e-15,5.222402555156986e-16,6.444832070386396e-10,7.920071861333853e-16
44100,lagrange-g32,2000.0,5.785964799319725e-15,1.007613413736315e-15,8.056040087982996e-10,1.047382306668854e-15
44100,lagrange-g32,4000.0,7.714619732426294e-15,2.076180780845177e-15,6.444832070386396e-10,2.086658193924118e-15
44100,lagrange-g32,8000.0,5.785964799319725e-15,3.7525111913958315e-15,6.444832070386396e-10,3.76985705904379e-15
44100,lagrange-g32,12000.0,1.1583914268118198e-08,1.2329670330773788e-09,0.000797884227823589,1.6547879854917802e-09
44100,lagrange-g32,16000.0,0.0035557186260383074,0.0002796717597210771,99.13501574723018,0.0004387206988526541
44100,lagrange-g32,18000.0,0.167701060812772,0.011825159194491959,2905.0070420441666,0.019755277424929066
44100,lagrange-g32,20000.0,2.3650015671371034,0.15386236551725863,26359.729600386672,0.2415307384577281
44100,hann-g32,1000.0,5.9783650904693975e-05,2.80861569305702e-08,0.3002551127255444,6.8828234930851115e-06
44100,hann-g32,2000.0,0.00010439599007004614,8.434170122521964e-07,0.18711048146506362,1.2018965957094959e-05
44100,hann-g32,4000.0,7.211051198071989e-07,1.5916125968598745e-06,0.7768029989270034,1.5916577280491568e-06
44100,hann-g32,8000.0,9.579820094014134e-06,2.0745089319421608e-06,3.6406285471109503,2.1825254226221025e-06
44100,hann-g32,12000.0,0.0001104818242107899,3.1397860017887324e-06,11.135511418355495,1.2719684771176411e-05
44100,hann-g32,16000.0,0.0009639318084528308,5.204933140496e-05,34.88220902692301,0.00011097300127449747
44100,hann-g32,18000.0,0.003683854021903337,0.0002146067502527214,69.83071139591911,0.00042422005997250775
44100,hann-g32,20000.0,0.03227402824699463,0.001854496329785768,123.63784530587625,0.003708882063489981
44100,kaiser-g32,1000.0,0.00021041840234254774,4.109677386081576e-06,0.8150615931436029,2.422566201544566e-05
44100,kaiser-g32,2000.0,0.00037430668807569194,2.2348717421476685e-06,2.6929162139906997,4.3094587503506305e-05
44100,kaiser-g32,4000.0,1.3002594533496956e-05,4.3124833902535075e-06,1.8563185455103315,4.5538475312566544e-06
44100,kaiser-g32,8000.0,4.903642926927392e-05,7.4641316547682564e-06,1.4247394231990953,9.292598941197836e-06
44100,kaiser-g32,12000.0,9.633152852922884e-05,9.021714649311797e-06,6.943862093314594,1.421492794155496e-05
44100,kaiser-g32,16000.0,0.0001055248699672129,1.3401506838855903e-05,16.978465036559594,1.7836500483535335e-05
44100,kaiser-g32,18000.0,0.0006153414345406169,3.067765934100835e-05,24.55393306247835,7.084769794091387e-05
44100,kaiser-g32,20000.0,0.0001434443186002839,1.0718646765354404e-05,111.39209672309516,1.9601068399981135e-05
44100,lagrange-g64,1000.0,5.785964799319725e-15,1.96636300425524e-15,1.6112080175965992e-09,2.0014830212433605e-15
44100,lagrange-g64,2000.0,5.785964799319721e-15,3.577603951225324e-15,9.667248105579595e-10,3.535759671556655e-15
44100,lagrange-g64,4000.0,7.7146197324263e-15,7.16510441770174e-15,1.6112080175965992e-09,7.19592404467786e-15
44100,lagrange-g64,8000.0,1.9286549331065764e-14,1.2841533484678853e-14,1.933449621115919e-09,1.2862815371855452e-14
44100,lagrange-g64,12000.0,9.643274665532866e-15,9.444525999184257e-15,1.933449621115919e-09,9.440976529270755e-15
44100,lagrange-g64,16000.0,5.616180855032049e-06,4.375903528626951e-07,0.30159001725813617,6.905029533626495e-07
44100,lagrange-g64,18000.0,0.008378153999313156,0.0005832980491456352,269.2162824686922,0.000992311774123549
44100,lagrange-g64,20000.0,0.8826665828948456,0.05638472629557375,15648.254291264508,0.0975539253440961
44100,hann-g64,1000.0,1.2792200558848861e-05,5.156454626753302e-08,0.022875478362141967,1.4727556035919715e-06
44100,hann-g64,2000.0,8.856845238643653e-07,9.084383518532821e-08,0.08908595922932153,1.1117794947871984e-07
44100,hann-g64,4000.0,3.7351085999511024e-06,8.601800143647575e-08,0.3173223598724749,4.30021827204074e-07
44100,hann-g64,8000.0,1.7164590322964892e-05,5.005941461487718e-07,0.6152699036976336,1.976156801861375e-06
44100,hann-g64,12000.0,3.815949424255933e-05,1.7371259603072557e-06,1.4644138545382184,4.393331675006871e-06
44100,hann-g64,16000.0,1.5374399446291215e-05,1.2455583324947704e-06,13.306871592890987,1.7701310933511799e-06
44100,hann-g64,18000.0,0.0003517139792049178,2.057725571749567e-05,31.667120222011135,4.04944225844862e-05
44100,hann-g64,20000.0,0.003994799831926608,0.00023029177318602167,56.0209890566294,0.00046003552633671127
44100,kaiser-g64,1000.0,0.00019486540239509545,5.938518560920579e-07,1.3175980458668464,2.24349614262593e-05
44100,kaiser-g64,2000.0,1.5143249366719916e-05,1.0964916340759466e-06,0.7846172493780473,1.7830998828422247e-06
44100,kaiser-g64,4000.0,5.698400659775757e-05,1.5145262278095122e-06,1.0390322691626335,6.560575665395886e-06
44100,kaiser-g64,8000.0,0.0001765579103045749,9.489690315719229e-07,4.218887468613237,2.0327190524870427e-05
44100,kaiser-g64,12000.0,0.00024657458001894466,5.562204002133721e-06,0.13450369654537903,2.8388443294924602e-05
44100,kaiser-g64,16000.0,0.00018732075185063957,5.961418628512706e-06,14.24301963787996,2.15664919399212e-05
44100,kaiser-g64,18000.0,0.00012833698561034044,4.11501129228149e-06,27.007836959189184,1.4775581368219955e-05
44100,kaiser-g64,20000.0,0.0003853033927148216,1.948583947141227e-05,58.58699289987902,4.4361580401883175e-05
48000,lagrange-g0,1000.0,0.00010534385849485493,1.4758711829289514e-06,1.1723669485555477,1.2212109564183109e-05
48000,lagrange-g0,2000.0,0.001642513559422814,4.6595368101866e-05,18.405320045558614,0.00019439094552665286
48000,lagrange-g0,4000.0,0.02365538746081431,0.0014103909518319282,272.0976490891101,0.0030468178145306207
48000,lagrange-g0,8000.0,0.24765491120958255,0.03565591557716842,3099.7642039022135,0.044878260369518225
48000,lagrange-g0,12000.0,1.0719999925024202,0.186596893964439,9336.814441651495,0.19768720032315415
48000,lagrange-g0,16000.0,3.2541305763363217,0.5197313477396257,17536.733883515953,0.512884197316654
48000,lagrange-g0,18000.0,5.255195804942736,0.7723610743870516,22980.90784051728,0.7277282479525967
48000,lagrange-g0,20000.0,8.412122188174715,1.104078875434653,31444.228256943687,0.967646889661841
48000,lagrange-g8,1000.0,3.857309866213149e-15,2.5486478463676933e-16,7.401486830834377e-11,3.7238012298709097e-16
48000,lagrange-g8,2000.0,4.821637332766436e-15,4.873503739249213e-16,3.3306690738754696e-10,4.965068306494546e-16
