rate,candidate,frequency_hz,in_source_band,magnitude_error_db,phase_error_rad,group_delay_error_ns
44100,sinc129-noncausal-control,16000.0,True,1.53743994945075e-05,1.2455583313907153e-06,13.306871595295162
44100,sinc129-noncausal-control,17640.0,True,0.0003274097663408915,1.8422298122423518e-05,20.69189910930877
44100,sinc129-noncausal-control,18000.0,True,0.00035171397925506085,2.0577255711164662e-05,31.667120222304856
44100,sinc129-noncausal-control,19845.0,True,0.0014993735175893586,8.667314991385821e-05,273.29591168972587
48000,lagrange3,1000.0,True,0.00010534385849485493,1.475871182915085e-06,1.1723669485549377
48000,lagrange3,2000.0,True,0.0016425135594247422,4.6595368101866e-05,18.405320045559712
48000,lagrange3,4000.0,True,0.02365538746081431,0.0014103909518319011,272.0976490891101
48000,lagrange3,4800.0,True,0.04607570432227908,0.003393356796598854,537.5382919122533
48000,lagrange3,8000.0,True,0.24765491120958255,0.03565591557716837,3099.7642039022157
48000,lagrange3,9600.0,True,0.4567314975019173,0.07735674630050288,5288.400952749638
48000,lagrange3,12000.0,True,1.071999992502419,0.1865968939644391,9336.814441651493
48000,lagrange3,14400.0,True,2.1563082107017255,0.36165227021063645,14002.48201515723
48000,lagrange3,16000.0,True,3.2541305763363217,0.5197313477396257,17536.733883515953
48000,lagrange3,18000.0,True,5.255195804942737,0.7723610743870514,22980.907840517273
48000,lagrange3,19200.0,True,6.957987859956684,0.9599296393379214,27437.036523280873
48000,lagrange3,21600.0,True,12.655948497385301,1.455933731962113,45871.266387524614
48000,lagrange7,1000.0,True,1.1032814606836159e-08,4.958662436089063e-10,0.000705798775273072
48000,lagrange7,2000.0,True,2.2049881642210975e-06,2.3293694019386388e-07,0.1625209489835322
48000,lagrange7,4000.0,True,0.00010580202706945742,8.271076848554137e-05,26.24179961312773
48000,lagrange7,4800.0,True,0.0007234902417755089,0.00033763961796956185,83.05336117075232
48000,lagrange7,8000.0,True,0.14463280227642217,0.0050012346450781855,762.8683139008828
48000,lagrange7,9600.0,True,0.518544105527172,0.030025924481618237,6986.419909859226
48000,lagrange7,12000.0,True,1.0223001773496003,0.2919041068201643,28136.934968240395
48000,lagrange7,14400.0,True,4.516023436112183,0.5490585808352355,19458.28378792072
48000,lagrange7,16000.0,True,8.136011392926823,0.5141367136454021,31825.17954903283
48000,lagrange7,18000.0,True,11.689815137886857,0.5144068766920058,46535.76751494256
48000,lagrange7,19200.0,True,13.258757551776409,0.8296487106350069,53234.52881832141
48000,lagrange7,21600.0,True,15.264403758884344,1.7366914907595177,71813.51178392484
48000,lagrange15,1000.0,True,5.602742580674779e-13,7.581685934834489e-14,8.957796933687853e-09
48000,lagrange15,2000.0,True,5.795608073987189e-12,2.935377664887037e-12,3.6314665670714695e-06
48000,lagrange15,4000.0,True,1.3686709113985408e-06,7.324357848917142e-08,0.06747413591635801
48000,lagrange15,4800.0,True,1.1316691164545745e-05,2.6875525099395343e-06,1.5542911723775694
48000,lagrange15,8000.0,True,0.039891105936585236,0.005044417729991009,2061.782953756048
48000,lagrange15,9600.0,True,0.5178275694560531,0.074834860212728,11990.419437970648
48000,lagrange15,12000.0,True,4.963134455464147,1.4148089958832013,219316.70907736057
48000,lagrange15,14400.0,True,24.44651571945537,0.9921487342686738,146424.84143170714
48000,lagrange15,16000.0,True,33.54954780589401,3.1410665873226176,718374.8069387347
48000,lagrange15,18000.0,True,42.697442145061416,3.137144015058366,148340.8162460233
48000,lagrange15,19200.0,True,46.898955873177584,3.1413710055314046,214804.56495059453
48000,lagrange15,21600.0,True,52.386077273446645,1.6212866795795011,142765.07570707236
48000,farrow7-fir32,1000.0,True,0.37440115063997054,0.029708781513353127,5027.222015321049
48000,farrow7-fir32,2000.0,True,0.24867112772472152,0.014189100961128933,5501.542626965267
48000,farrow7-fir32,4000.0,True,0.23376517988134407,0.03589271760458864,3331.9627428809968
48000,farrow7-fir32,4800.0,True,0.256876338704187,0.025668633348716167,1683.1396227453915
48000,farrow7-fir32,8000.0,True,0.0720623352455963,0.03577282055318779,1390.2620186818426
48000,farrow7-fir32,9600.0,True,0.14191087348259054,0.03742716432562403,2581.1023975181884
48000,farrow7-fir32,12000.0,True,0.269667901269531,0.048306254307245396,5774.672430211951
48000,farrow7-fir32,14400.0,True,0.5829587877732944,0.026942908978096168,6613.686738680998
48000,farrow7-fir32,16000.0,True,0.6764655274332045,0.03265854169018975,7936.325544658023
48000,farrow7-fir32,18000.0,True,0.3525885719091148,0.03750480062957294,13084.480080764099
48000,farrow7-fir32,19200.0,True,0.33129076671966096,0.053722143596856294,14862.981042816979
48000,farrow7-fir32,21600.0,True,2.0126698826184106,0.3640091142588234,369027.8083077115
48000,vfd-ls32,1000.0,True,0.374399445244605,0.02970872519978019,5027.215468400261
48000,vfd-ls32,2000.0,True,0.24867047489438626,0.014189055370548775,5501.518906548363
48000,vfd-ls32,4000.0,True,0.23376295455242824,0.035892567762410545,3331.94900173089
48000,vfd-ls32,4800.0,True,0.25687527811061545,0.025668531709063063,1683.1348897414857
48000,vfd-ls32,8000.0,True,0.07205742948880871,0.03577275295911229,1390.2484479828643
48000,vfd-ls32,9600.0,True,0.1419119755851485,0.03742714044993861,2581.096186961606
48000,vfd-ls32,12000.0,True,0.2696772053260147,0.04830614911361473,5774.6540857781665
48000,vfd-ls32,14400.0,True,0.5829710564757753,0.026942674708934185,6613.664486342916
48000,vfd-ls32,16000.0,True,0.6764828865984641,0.03265865707700126,7936.316944362404
48000,vfd-ls32,18000.0,True,0.35261010711961627,0.03750469544021464,13084.423780013278
48000,vfd-ls32,19200.0,True,0.3313079280608583,0.053722003063520644,14862.971386340554
48000,vfd-ls32,21600.0,True,2.012725433445946,0.36400900772573297,369026.57432260393
48000,vfd-ls64,1000.0,True,0.12242598657974771,0.004849985221828524,4465.288207452887
48000,vfd-ls64,2000.0,True,0.13795895345419276,0.011285703652369727,1248.25687906222
48000,vfd-ls64,4000.0,True,0.09601415678148373,0.01170144086140326,2302.1056590334747
48000,vfd-ls64,4800.0,True,0.07123375831842921,0.014214605062441972,3210.5258417911355
48000,vfd-ls64,8000.0,True,0.06479184735011373,0.021911932367641915,3114.3816453596473
48000,vfd-ls64,9600.0,True,0.10668557017791008,0.02170024464426577,935.2599193119751
48000,vfd-ls64,12000.0,True,0.14757543642135007,0.01280278529503784,5425.265638415374
48000,vfd-ls64,14400.0,True,0.17822772110348933,0.013041790978627225,6162.261594127336
48000,vfd-ls64,16000.0,True,0.18287981917327567,0.026367596737124927,2485.6921114990096
