rate,conditioner,kernel,stage,passed,worst_error,kernel_max_gain_db,ultrasonic_core_error,ultrasonic_reference_convergence,tier_c_probe_pass
48000,butter4-fc20000,lagrange-g8,frozen Tier A kernel rejection,False,,,,,False
48000,butter4-fc20000,hann-g8,frozen Tier A kernel rejection,False,,,,,False
48000,butter4-fc20000,kaiser-g8,actual and Tier C,False,0.029569963694254645,0.0017706347545045026,1.221447319090724e-09,1.9241573265481334e-06,True
48000,butter4-fc20000,lagrange-g16,frozen Tier A kernel rejection,False,,,,,False
48000,butter4-fc20000,hann-g16,frozen Tier A kernel rejection,False,,,,,False
48000,butter4-fc20000,kaiser-g16,actual and Tier C,True,0.001121292676140579,0.0018760698606006202,5.446752311057465e-10,1.9241573265481334e-06,True
48000,butter6-fc18000,lagrange-g0,frozen Tier A kernel rejection,False,,,,,False
48000,butter6-fc18000,lagrange-g8,frozen Tier A kernel rejection,False,,,,,False
48000,butter6-fc18000,hann-g8,frozen Tier A kernel rejection,False,,,,,False
48000,butter6-fc18000,kaiser-g8,actual and Tier C,False,0.011242702531609859,0.0017706347545045026,1.3005648407352738e-09,7.164003982137093e-07,True
48000,butter6-fc18000,lagrange-g16,frozen Tier A kernel rejection,False,,,,,False
48000,butter6-fc18000,hann-g16,frozen Tier A kernel rejection,False,,,,,False
48000,butter6-fc18000,kaiser-g16,actual and Tier C,True,8.670275201809505e-05,0.0018760698606006202,5.325407639358102e-10,7.164003982137093e-07,True
48000,butter6-fc20000,lagrange-g0,frozen Tier A kernel rejection,False,,,,,False
48000,butter6-fc20000,lagrange-g8,frozen Tier A kernel rejection,False,,,,,False
48000,butter6-fc20000,hann-g8,frozen Tier A kernel rejection,False,,,,,False
48000,butter6-fc20000,kaiser-g8,actual and Tier C,False,0.027550286290703982,0.0017706347545045026,1.4097082736729305e-09,1.8922623823383268e-06,True
48000,butter6-fc20000,lagrange-g16,frozen Tier A kernel rejection,False,,,,,False
48000,butter6-fc20000,hann-g16,frozen Tier A kernel rejection,False,,,,,False
48000,butter6-fc20000,kaiser-g16,actual and Tier C,True,0.0004349904626332328,0.0018760698606006202,6.34248501720006e-10,1.8922623823383268e-06,True
48000,bessel4-fc18000,lagrange-g0,frozen Tier A kernel rejection,False,,,,,False
48000,bessel4-fc18000,lagrange-g8,frozen Tier A kernel rejection,False,,,,,False
48000,bessel4-fc18000,hann-g8,frozen Tier A kernel rejection,False,,,,,False
48000,bessel4-fc18000,kaiser-g8,actual and Tier C,False,0.02415387753408699,0.0017706347545045026,1.1923239956476857e-09,2.2601313708434422e-06,True
48000,bessel4-fc18000,lagrange-g16,frozen Tier A kernel rejection,False,,,,,False
48000,bessel4-fc18000,hann-g16,frozen Tier A kernel rejection,False,,,,,False
48000,bessel4-fc18000,kaiser-g16,actual and Tier C,True,0.0011013045472667358,0.0018760698606006202,5.799137086471598e-10,2.2601313708434422e-06,True
48000,bessel4-fc20000,lagrange-g0,frozen Tier A kernel rejection,False,,,,,False
48000,bessel4-fc20000,lagrange-g8,frozen Tier A kernel rejection,False,,,,,False
48000,bessel4-fc20000,hann-g8,frozen Tier A kernel rejection,False,,,,,False
48000,bessel4-fc20000,kaiser-g8,actual and Tier C,False,0.03820737115569819,0.0017706347545045026,1.5446831931271623e-09,2.340396934201906e-06,True
48000,bessel4-fc20000,lagrange-g16,frozen Tier A kernel rejection,False,,,,,False
48000,bessel4-fc20000,hann-g16,frozen Tier A kernel rejection,False,,,,,False
48000,bessel4-fc20000,kaiser-g16,actual and Tier C,True,0.003527371616952527,0.0018760698606006202,6.6394427708903e-10,2.340396934201906e-06,True
48000,fir33-fc18000,lagrange-g0,frozen Tier A kernel rejection,False,,,,,False
48000,fir33-fc18000,lagrange-g8,frozen Tier A kernel rejection,False,,,,,False
48000,fir33-fc18000,hann-g8,frozen Tier A kernel rejection,False,,,,,False
48000,fir33-fc18000,kaiser-g8,actual and Tier C,False,0.00898670901897921,0.0017706347545045026,1.411170028799367e-09,2.5327878579078664e-05,True
48000,fir33-fc18000,lagrange-g16,frozen Tier A kernel rejection,False,,,,,False
48000,fir33-fc18000,hann-g16,frozen Tier A kernel rejection,False,,,,,False
48000,fir33-fc18000,kaiser-g16,actual and Tier C,True,7.283212924306381e-05,0.0018760698606006202,4.3148921052482813e-10,2.5327878579078664e-05,True
48000,fir33-fc20000,lagrange-g0,frozen Tier A kernel rejection,False,,,,,False
48000,fir33-fc20000,lagrange-g8,frozen Tier A kernel rejection,False,,,,,False
48000,fir33-fc20000,hann-g8,frozen Tier A kernel rejection,False,,,,,False
48000,fir33-fc20000,kaiser-g8,actual and Tier C,False,0.023710013058747138,0.0017706347545045026,1.4094812149134787e-09,1.0416424641175821e-05,True
48000,fir33-fc20000,lagrange-g16,frozen Tier A kernel rejection,False,,,,,False
48000,fir33-fc20000,hann-g16,frozen Tier A kernel rejection,False,,,,,False
48000,fir33-fc20000,kaiser-g16,actual and Tier C,True,0.0006815741228518729,0.0018760698606006202,4.43206090862467e-10,1.0416424641175821e-05,True
48000,fir65-fc18000,lagrange-g0,frozen Tier A kernel rejection,False,,,,,False
48000,fir65-fc18000,lagrange-g8,frozen Tier A kernel rejection,False,,,,,False
48000,fir65-fc18000,hann-g8,frozen Tier A kernel rejection,False,,,,,False
48000,fir65-fc18000,kaiser-g8,actual and Tier C,True,0.006504008232761387,0.0017706347545045026,1.4042016702614236e-09,2.324477446646989e-05,True
