rate,reference_rate,kernel,frequency_hz,common_time_error_rms,pair_budget_pass
48000,96000,lagrange-g32,1000.0,6.325021977687346e-14,True
48000,96000,lagrange-g32,2000.0,1.318836323305634e-13,True
48000,96000,lagrange-g32,4000.0,2.6014627448956906e-13,True
48000,96000,lagrange-g32,8000.0,5.584275127419955e-13,True
48000,96000,lagrange-g32,12000.0,1.0112096048304459e-11,True
48000,96000,lagrange-g32,16000.0,7.579930176701842e-06,True
48000,96000,lagrange-g32,18000.0,0.0007801364085324666,True
48000,96000,lagrange-g32,20000.0,0.015845060573694166,False
48000,96000,hann-g32,1000.0,2.655039894366274e-06,True
48000,96000,hann-g32,2000.0,2.656456996323733e-06,True
48000,96000,hann-g32,4000.0,2.731390348962648e-06,True
48000,96000,hann-g32,8000.0,3.181833257333087e-06,True
48000,96000,hann-g32,12000.0,4.954042885055891e-06,True
48000,96000,hann-g32,16000.0,1.4495143653354585e-05,True
48000,96000,hann-g32,18000.0,8.726803325720715e-05,True
48000,96000,hann-g32,20000.0,0.00019618517891040145,True
48000,96000,kaiser-g32,1000.0,7.811644782430956e-06,True
48000,96000,kaiser-g32,2000.0,7.5795171315758465e-06,True
48000,96000,kaiser-g32,4000.0,8.309634799753425e-06,True
48000,96000,kaiser-g32,8000.0,8.515035059341205e-06,True
48000,96000,kaiser-g32,12000.0,1.6449393042745015e-06,True
48000,96000,kaiser-g32,16000.0,1.8670567895715732e-05,True
48000,96000,kaiser-g32,18000.0,3.5415203397150128e-06,True
48000,96000,kaiser-g32,20000.0,1.9573612903351112e-05,True
48000,96000,lagrange-g64,1000.0,6.419521511255613e-14,True
48000,96000,lagrange-g64,2000.0,1.3439636428961508e-13,True
48000,96000,lagrange-g64,4000.0,2.6977400715796993e-13,True
48000,96000,lagrange-g64,8000.0,5.584705404286867e-13,True
48000,96000,lagrange-g64,12000.0,1.0924214396645714e-12,True
48000,96000,lagrange-g64,16000.0,5.498843730098933e-10,True
48000,96000,lagrange-g64,18000.0,3.5885894363910857e-06,True
48000,96000,lagrange-g64,20000.0,0.0013005625412216076,True
48000,96000,hann-g64,1000.0,3.3113280801182696e-07,True
48000,96000,hann-g64,2000.0,3.332994893230421e-07,True
48000,96000,hann-g64,4000.0,3.394390350923311e-07,True
48000,96000,hann-g64,8000.0,3.8845406979087313e-07,True
48000,96000,hann-g64,12000.0,6.19745953911808e-07,True
48000,96000,hann-g64,16000.0,2.369756720999842e-06,True
48000,96000,hann-g64,18000.0,1.0933080278880513e-05,True
48000,96000,hann-g64,20000.0,1.5743770439972634e-05,True
48000,96000,kaiser-g64,1000.0,3.840854601638015e-06,True
48000,96000,kaiser-g64,2000.0,3.892251537063929e-06,True
48000,96000,kaiser-g64,4000.0,3.858315808672284e-06,True
48000,96000,kaiser-g64,8000.0,4.155443704228122e-06,True
48000,96000,kaiser-g64,12000.0,1.1440393902192e-06,True
48000,96000,kaiser-g64,16000.0,7.70728700465598e-06,True
48000,96000,kaiser-g64,18000.0,6.730712676929938e-06,True
48000,96000,kaiser-g64,20000.0,1.3696274844100521e-05,True
